日期,guava_平均價,guava_交易量,emperorguava_平均價,banana_平均價,guava_前日平均價,guava_5日平均價
2011-05-07,13.3,65873.0,26.4,32.1,12.9,13.9
2011-05-08,16.1,59947.0,25.3,31.8,13.3,13.9
2011-05-09,16.0,59408.5,26.6,31.4,16.1,14.3
2011-05-10,15.9,58870.0,27.8,30.9,16.0,14.8
2011-05-11,16.4,50089.0,26.1,28.6,15.9,15.5
2011-05-12,15.0,51453.0,25.2,25.8,16.4,15.9
2011-05-13,15.3,43641.0,22.0,25.1,15.0,15.7
2011-05-14,18.3,39847.0,21.9,25.1,15.3,16.2
2011-05-15,19.3,48326.0,32.3,27.1,18.3,16.9
2011-05-16,21.0,44233.0,33.3,27.1,19.3,17.8
2011-05-17,22.6,40140.0,34.4,27.2,21.0,19.3
2011-05-18,28.1,32989.0,47.5,27.7,22.6,21.9
2011-05-19,32.8,30278.0,48.2,28.5,28.1,24.8
2011-05-20,31.5,40843.0,50.7,29.5,32.8,27.2
2011-05-21,32.4,40331.0,46.2,26.3,31.5,29.5
2011-05-22,34.8,40316.0,52.7,25.2,32.4,31.9
2011-05-23,35.6,38565.5,50.0,25.4,34.8,33.4
2011-05-24,36.5,36815.0,47.3,25.6,35.6,34.2
2011-05-25,38.1,27671.0,48.9,23.8,36.5,35.5
2011-05-26,40.6,25321.0,45.6,24.2,38.1,37.1
2011-05-27,45.6,23354.0,62.6,23.3,40.6,39.3
2011-05-28,50.0,20759.0,62.3,23.7,45.6,42.2
2011-05-29,55.7,23479.0,60.9,24.4,50.0,46.0
2011-05-30,54.2,23085.5,64.2,25.2,55.7,49.2
2011-05-31,52.6,22692.0,67.6,26.1,54.2,51.6
2011-06-01,62.8,12926.0,85.5,27.4,52.6,55.1
2011-06-02,67.8,11484.0,89.5,28.0,62.8,58.6
2011-06-03,67.4,16044.0,81.3,27.7,67.8,61.0
2011-06-04,68.1,20990.0,89.2,27.0,67.4,63.7
2011-06-05,61.9,26921.0,76.3,27.2,68.1,65.6
2011-06-06,55.7,18752.0,71.3,26.8,61.9,64.2
2011-06-07,46.5,25221.7,64.8,26.5,55.7,59.9
2011-06-08,37.3,31691.3,58.2,26.3,46.5,53.9
2011-06-09,28.1,38161.0,51.7,26.0,37.3,45.9
2011-06-10,33.7,23328.0,52.5,22.5,28.1,40.3
2011-06-11,41.0,24712.0,59.7,21.9,33.7,37.3
2011-06-12,36.5,35028.0,52.6,20.7,41.0,35.3
2011-06-13,35.9,34303.0,53.8,19.9,36.5,35.0
2011-06-14,35.3,33578.0,55.0,19.0,35.9,36.5
2011-06-15,24.6,33473.0,38.3,17.4,35.3,34.7
2011-06-16,25.7,24685.0,41.8,18.5,24.6,31.6
2011-06-17,25.9,22462.0,36.5,17.9,25.7,29.5
2011-06-18,26.7,34916.0,39.3,17.8,25.9,27.6
2011-06-19,24.7,43679.0,44.1,15.5,26.7,25.5
2011-06-20,22.4,45916.0,37.9,15.1,24.7,25.1
2011-06-21,20.2,48153.0,31.6,14.7,22.4,24.0
2011-06-22,20.5,29820.0,32.6,12.5,20.2,22.9
2011-06-23,17.8,35345.0,27.8,11.6,20.5,21.1
2011-06-24,17.5,41661.0,34.5,10.8,17.8,19.7
2011-06-25,16.8,44928.0,30.8,11.9,17.5,18.6
2011-06-26,18.4,43340.0,33.1,11.3,16.8,18.2
2011-06-27,19.6,43513.0,35.0,11.8,18.4,18.0
2011-06-28,20.8,43686.0,36.9,12.2,19.6,18.6
2011-06-29,28.3,24443.0,41.0,11.8,20.8,20.8
2011-06-30,22.4,44029.0,34.3,13.8,28.3,21.9
2011-07-01,21.5,43424.0,31.3,12.0,22.4,22.5
2011-07-02,22.5,44229.0,32.3,13.1,21.5,23.1
2011-07-03,19.8,55845.0,28.0,13.3,22.5,22.9
2011-07-04,18.9,56122.5,28.2,13.4,19.8,21.0
2011-07-05,18.0,56400.0,28.5,13.4,18.9,20.1
2011-07-06,13.3,47929.0,19.5,12.5,18.0,18.5
2011-07-07,13.7,38616.0,18.7,12.0,13.3,16.7
2011-07-08,16.2,34156.0,20.2,11.5,13.7,16.0
2011-07-09,19.0,44933.0,26.1,12.0,16.2,16.0
2011-07-10,21.3,47083.0,25.7,12.7,19.0,16.7
2011-07-11,19.0,51868.5,26.1,12.8,21.3,17.8
2011-07-12,16.6,56654.0,26.6,12.9,19.0,18.4
2011-07-13,16.8,41723.0,23.6,13.6,16.6,18.5
2011-07-14,18.1,33654.0,23.5,16.0,16.8,18.4
2011-07-15,21.6,32923.0,27.8,18.1,18.1,18.4
2011-07-16,21.0,42912.0,26.0,19.0,21.6,18.8
2011-07-17,18.7,54376.0,23.1,19.9,21.0,19.2
2011-07-18,18.2,50123.0,25.6,19.8,18.7,19.5
2011-07-19,17.8,45870.0,28.0,19.7,18.2,19.5
2011-07-20,18.1,42633.0,30.9,19.3,17.8,18.8
2011-07-21,17.6,39200.0,28.4,19.9,18.1,18.1
2011-07-22,17.2,43384.0,30.7,18.1,17.6,17.8
2011-07-23,15.7,58510.0,27.3,19.3,17.2,17.3
2011-07-24,17.7,53593.0,25.9,20.6,15.7,17.3
2011-07-25,17.5,51782.5,27.1,20.5,17.7,17.1
2011-07-26,17.4,49972.0,28.4,20.3,17.5,17.1
2011-07-27,18.9,44005.0,22.4,19.4,17.4,17.4
2011-07-28,17.1,45519.0,20.0,17.4,18.9,17.7
2011-07-29,16.3,44989.0,23.3,16.0,17.1,17.4
2011-07-30,14.6,61364.0,26.8,16.3,16.3,16.9
2011-07-31,14.4,57248.0,21.7,18.5,14.6,16.3
2011-08-01,15.1,57582.5,22.9,18.3,14.4,15.5
2011-08-02,15.8,57917.0,24.2,18.1,15.1,15.2
2011-08-03,13.5,64167.0,18.2,16.3,15.8,14.7
2011-08-04,11.6,61128.0,18.3,15.1,13.5,14.1
2011-08-05,11.9,53793.0,20.9,12.4,11.6,13.6
2011-08-06,12.6,54632.0,22.5,13.9,11.9,13.1
2011-08-07,15.6,47516.0,18.9,14.0,12.6,13.0
2011-08-08,14.8,54397.5,19.8,13.4,15.6,13.3
2011-08-09,14.1,61279.0,20.6,12.8,14.8,13.8
2011-08-10,12.1,58871.0,21.2,11.5,14.1,13.8
2011-08-11,10.8,56032.0,15.8,12.0,12.1,13.5
2011-08-12,12.6,49274.0,23.2,12.8,10.8,12.9
2011-08-13,13.3,51386.0,18.7,11.7,12.6,12.6
2011-08-14,17.7,41044.0,19.8,13.0,13.3,13.3
2011-08-15,16.1,52417.3,19.2,12.9,17.7,14.1
2011-08-16,14.6,63790.7,18.7,12.7,16.1,14.9
2011-08-17,13.0,75164.0,18.1,12.6,14.6,14.9
2011-08-18,9.6,82093.0,12.4,13.0,13.0,14.2
2011-08-19,8.5,72422.0,15.3,11.9,9.6,12.4
2011-08-20,9.8,63249.0,17.7,12.2,8.5,11.1
2011-08-21,11.6,60939.0,15.7,12.7,9.8,10.5
2011-08-22,12.1,60209.5,16.4,12.5,11.6,10.3
2011-08-23,12.5,59480.0,17.2,12.3,12.1,10.9
2011-08-24,13.1,55218.0,13.7,12.3,12.5,11.8
2011-08-25,13.6,50347.0,18.9,12.0,13.1,12.6
2011-08-26,16.2,44525.0,18.0,11.3,13.6,13.5
2011-08-27,17.4,53626.0,22.0,12.5,16.2,14.6
2011-08-28,19.0,57049.0,25.3,13.6,17.4,15.9
2011-08-29,18.1,62474.0,22.1,13.6,19.0,16.9
2011-08-30,17.1,67899.0,19.0,13.5,18.1,17.6
2011-08-31,15.7,46678.0,19.1,13.1,17.1,17.5
2011-09-01,16.7,44882.0,20.4,13.4,15.7,17.3
2011-09-02,15.6,60879.0,18.0,13.9,16.7,16.6
2011-09-03,15.8,70015.0,15.7,14.1,15.6,16.2
2011-09-04,17.4,63444.0,19.6,13.0,15.8,16.2
2011-09-05,17.7,59380.0,20.2,13.1,17.4,16.6
2011-09-06,18.0,55316.0,20.9,13.2,17.7,16.9
2011-09-07,19.5,46601.0,22.0,14.0,18.0,17.7
2011-09-08,17.2,49113.0,20.6,13.2,19.5,18.0
2011-09-09,15.5,48334.0,14.0,13.0,17.2,17.6
2011-09-10,15.0,59415.0,20.3,13.2,15.5,17.0
2011-09-11,13.2,60599.0,20.0,13.8,15.0,16.1
2011-09-12,14.4,40376.0,17.9,14.0,13.2,15.1
2011-09-13,14.6,46966.0,18.5,13.1,14.4,14.5
2011-09-14,14.8,53556.0,19.2,12.3,14.6,14.4
2011-09-15,15.0,60146.0,19.8,11.4,14.8,14.4
2011-09-16,13.3,60766.0,18.3,12.3,15.0,14.4
2011-09-17,13.9,63765.0,19.6,12.7,13.3,14.3
2011-09-18,13.8,66407.0,16.6,12.5,13.9,14.2
2011-09-19,15.3,58677.5,18.4,12.2,13.8,14.3
2011-09-20,16.9,50948.0,20.2,11.9,15.3,14.6
2011-09-21,18.6,48325.0,26.3,11.6,16.9,15.7
2011-09-22,19.1,47382.0,21.8,12.1,18.6,16.7
2011-09-23,17.9,57764.0,22.1,12.1,19.1,17.6
2011-09-24,18.8,64972.0,20.6,12.3,17.9,18.3
2011-09-25,20.5,62355.0,24.2,12.8,18.8,19.0
2011-09-26,20.9,60559.5,26.1,13.1,20.5,19.4
2011-09-27,21.2,58764.0,28.1,13.4,20.9,19.9
2011-09-28,20.2,54489.0,25.3,13.3,21.2,20.3
2011-09-29,17.8,52579.0,22.5,13.3,20.2,20.1
2011-09-30,17.4,53968.0,19.8,12.1,17.8,19.5
2011-10-01,16.8,65377.0,21.8,12.9,17.4,18.7
2011-10-02,17.8,67147.0,20.4,12.8,16.8,18.0
2011-10-03,18.2,62962.5,23.8,12.7,17.8,17.6
2011-10-04,18.6,58778.0,27.1,12.5,18.2,17.8
2011-10-05,18.4,58677.0,20.6,13.5,18.6,18.0
2011-10-06,20.1,49988.0,29.0,14.1,18.4,18.6
2011-10-07,22.2,56141.0,28.4,13.0,20.1,19.5
2011-10-08,22.4,61993.0,26.1,14.1,22.2,20.3
2011-10-09,23.7,61392.0,26.7,14.9,22.4,21.4
2011-10-10,23.9,60217.0,30.4,14.9,23.7,22.5
2011-10-11,24.1,59042.0,34.1,14.8,23.9,23.3
2011-10-12,24.2,52974.0,31.5,14.9,24.1,23.7
2011-10-13,20.8,52139.0,28.1,14.6,24.2,23.3
2011-10-14,20.5,56081.0,26.4,14.2,20.8,22.7
2011-10-15,22.0,61591.0,28.7,15.1,20.5,22.3
2011-10-16,25.6,60478.0,32.7,15.5,22.0,22.6
2011-10-17,26.4,64765.5,33.9,15.7,25.6,23.1
2011-10-18,27.1,69053.0,35.1,15.9,26.4,24.3
2011-10-19,27.4,56817.0,39.3,16.8,27.1,25.7
2011-10-20,29.3,48919.0,37.2,16.0,27.4,27.2
2011-10-21,29.3,49901.0,35.6,15.2,29.3,27.9
2011-10-22,30.7,57940.0,35.0,16.0,29.3,28.8
2011-10-23,32.4,60101.0,44.2,16.3,30.7,29.8
2011-10-24,34.3,57536.0,43.5,16.2,32.4,31.2
2011-10-25,36.3,54971.0,42.8,16.1,34.3,32.6
2011-10-26,33.0,53349.0,40.5,17.7,36.3,33.3
2011-10-27,31.7,42056.0,43.8,18.0,33.0,33.5
2011-10-28,33.5,42553.0,45.2,18.5,31.7,33.8
2011-10-29,34.1,52295.0,41.6,18.8,33.5,33.7
2011-10-30,31.3,61394.0,33.8,18.6,34.1,32.7
2011-10-31,31.0,59345.0,39.2,17.8,31.3,32.3
2011-11-01,30.6,57296.0,44.7,17.0,31.0,32.1
2011-11-02,30.7,45485.0,49.1,16.8,30.6,31.5
2011-11-03,31.1,44274.0,44.6,17.2,30.7,30.9
2011-11-04,31.8,50562.0,44.9,15.2,31.1,31.0
2011-11-05,32.0,60154.0,39.8,16.2,31.8,31.2
2011-11-06,30.0,62083.0,42.8,17.2,32.0,31.1
2011-11-07,28.3,61794.0,39.6,16.4,30.0,30.6
2011-11-08,26.6,61505.0,36.4,15.7,28.3,29.7
2011-11-09,30.0,39335.0,39.6,16.5,26.6,29.4
2011-11-10,33.8,34666.0,43.4,16.6,30.0,29.7
2011-11-11,34.0,41931.0,42.9,15.5,33.8,30.5
2011-11-12,31.8,58170.0,37.4,15.6,34.0,31.2
2011-11-13,31.7,71950.0,34.6,16.7,31.8,32.3
2011-11-14,29.4,76105.5,34.3,16.6,31.7,32.1
2011-11-15,27.2,80261.0,34.0,16.6,29.4,30.8
2011-11-16,24.8,61274.0,32.8,16.0,27.2,29.0
2011-11-17,24.4,52096.0,29.7,14.9,24.8,27.5
2011-11-18,21.6,55363.0,30.1,12.8,24.4,25.5
2011-11-19,24.9,57201.0,30.5,14.7,21.6,24.6
2011-11-20,21.6,65763.0,33.5,15.7,24.9,23.5
2011-11-21,22.7,63284.5,32.2,16.0,21.6,23.0
2011-11-22,23.8,60806.0,30.9,16.3,22.7,22.9
2011-11-23,24.5,54709.0,34.2,17.1,23.8,23.5
2011-11-24,23.5,47317.0,27.5,18.8,24.5,23.2
2011-11-25,23.6,47468.0,33.3,19.4,23.5,23.6
2011-11-26,26.1,51538.0,31.4,19.2,23.6,24.3
2011-11-27,28.5,52921.0,34.4,19.5,26.1,25.2
2011-11-28,27.9,56503.0,33.2,18.9,28.5,25.9
2011-11-29,27.4,60085.0,32.1,18.3,27.9,26.7
2011-11-30,24.3,59211.0,29.7,16.8,27.4,26.8
2011-12-01,21.2,52599.0,23.7,16.1,24.3,25.9
2011-12-02,22.9,45033.0,28.7,16.0,21.2,24.7
2011-12-03,23.5,49558.0,26.7,16.6,22.9,23.9
2011-12-04,26.7,49548.0,31.5,17.1,23.5,23.7
2011-12-05,27.6,45099.5,31.9,17.2,26.7,24.4
2011-12-06,28.6,40651.0,32.4,17.3,27.6,25.9
2011-12-07,30.9,43785.0,35.2,17.4,28.6,27.5
2011-12-08,29.8,47362.0,34.8,18.6,30.9,28.7
2011-12-09,29.8,43279.0,33.8,19.4,29.8,29.3
2011-12-10,29.0,49549.0,36.7,19.1,29.8,29.6
2011-12-11,30.8,40255.0,35.0,19.4,29.0,30.1
2011-12-12,30.8,41892.5,37.4,19.4,30.8,30.0
2011-12-13,30.7,43530.0,39.8,19.5,30.8,30.2
2011-12-14,30.0,45796.0,35.1,19.0,30.7,30.3
2011-12-15,27.7,43078.0,31.3,16.8,30.0,30.0
2011-12-16,28.8,40210.0,34.6,17.1,27.7,29.6
2011-12-17,30.6,40456.0,33.8,17.8,28.8,29.6
2011-12-18,33.0,38868.0,36.3,18.1,30.6,30.0
2011-12-19,34.4,38083.0,37.6,18.2,33.0,30.9
2011-12-20,35.7,37298.0,38.9,18.3,34.4,32.5
2011-12-21,35.4,35062.0,41.8,17.6,35.7,33.8
2011-12-22,34.4,34796.0,42.0,16.2,35.4,34.6
2011-12-23,33.0,29948.0,38.5,15.7,34.4,34.6
2011-12-24,31.6,39334.0,43.7,17.3,33.0,34.0
2011-12-25,32.1,35105.0,47.7,16.9,31.6,33.3
2011-12-26,32.4,35954.0,49.3,16.8,32.1,32.7
2011-12-27,32.7,36803.0,50.9,16.6,32.4,32.4
2011-12-28,32.5,31216.0,56.8,16.6,32.7,32.3
2011-12-29,31.9,33444.0,44.0,17.1,32.5,32.3
2011-12-30,34.0,29626.0,47.6,16.5,31.9,32.7
2011-12-31,30.2,44251.0,43.3,17.1,34.0,32.3
2012-01-01,32.5,31208.0,45.6,18.2,30.2,32.2
2012-01-02,32.4,34865.5,44.8,18.3,32.5,32.2
2012-01-03,32.2,38523.0,44.0,18.4,32.4,32.3
2012-01-04,28.2,44052.0,40.6,18.9,32.2,31.1
2012-01-05,21.5,44365.0,37.2,18.8,28.2,29.4
2012-01-06,19.6,37518.0,36.8,19.5,21.5,26.8
2012-01-07,21.2,31955.0,42.3,19.3,19.6,24.5
2012-01-08,27.7,32841.0,41.6,20.3,21.2,23.6
2012-01-09,29.8,33448.0,44.9,20.2,27.7,24.0
2012-01-10,31.8,34055.0,48.2,20.2,29.8,26.0
2012-01-11,29.1,39990.0,41.0,18.6,31.8,27.9
2012-01-12,22.9,43472.0,34.6,18.2,29.1,28.3
2012-01-13,18.0,46402.0,30.5,16.8,22.9,26.3
2012-01-14,20.4,40478.0,41.7,17.4,18.0,24.4
2012-01-15,22.3,38314.0,24.9,17.9,20.4,22.5
2012-01-16,21.9,39048.5,31.1,17.6,22.3,21.1
2012-01-17,21.4,39783.0,37.4,17.4,21.9,20.8
2012-01-18,18.7,36521.0,39.4,16.8,21.4,20.9
2012-01-19,13.3,47134.0,26.4,15.4,18.7,19.5
2012-01-20,12.6,45783.0,28.4,14.5,13.3,17.6
2012-01-21,15.2,40375.0,30.3,14.1,12.6,16.2
2012-01-22,11.4,28183.0,25.2,15.0,15.2,14.2
2012-01-23,12.7,31148.8,26.7,15.1,11.4,13.0
2012-01-24,14.0,34114.7,28.2,15.2,12.7,13.2
2012-01-25,15.3,37080.5,29.7,15.3,14.0,13.7
2012-01-26,16.6,40046.3,31.2,15.4,15.3,14.0
2012-01-27,17.9,43012.2,32.7,15.5,16.6,15.3
2012-01-28,19.2,45978.0,34.2,15.6,17.9,16.6
2012-01-29,14.4,60493.0,20.2,15.9,19.2,16.7
2012-01-30,12.4,41489.0,19.5,15.3,14.4,16.1
2012-01-31,12.2,44630.0,24.1,15.5,12.4,15.2
2012-02-01,12.1,47771.0,28.7,15.7,12.2,14.1
2012-02-02,10.4,51117.0,19.0,16.7,12.1,12.3
2012-02-03,10.3,44620.0,17.9,15.2,10.4,11.5
2012-02-04,10.4,50473.0,22.3,15.6,10.3,11.1
2012-02-05,14.5,42784.0,27.3,18.0,10.4,11.5
2012-02-06,22.8,32229.0,31.5,19.7,14.5,13.7
2012-02-07,21.4,36830.3,32.5,20.0,22.8,15.9
2012-02-08,20.0,41431.7,33.5,20.3,21.4,17.8
2012-02-09,18.6,46033.0,34.5,20.6,20.0,19.5
2012-02-10,16.5,57169.0,30.9,18.8,18.6,19.9
2012-02-11,14.7,81232.0,33.3,17.5,16.5,18.2
2012-02-12,13.0,82567.0,29.5,18.7,14.7,16.6
2012-02-13,14.6,72164.0,35.1,19.1,13.0,15.5
2012-02-14,16.1,61761.0,40.7,19.5,14.6,15.0
2012-02-15,18.1,50312.0,36.5,19.7,16.1,15.3
2012-02-16,15.2,53662.0,23.8,18.5,18.1,15.4
2012-02-17,16.0,45834.0,27.8,17.8,15.2,16.0
2012-02-18,16.2,60294.0,27.6,18.2,16.0,16.3
2012-02-19,17.2,59945.0,24.4,18.3,16.2,16.5
2012-02-20,17.6,62693.0,27.2,19.0,17.2,16.4
2012-02-21,18.1,65441.0,30.1,19.7,17.6,17.0
2012-02-22,24.0,30063.0,38.8,20.7,18.1,18.6
2012-02-23,24.4,37510.0,33.1,21.1,24.0,20.3
2012-02-24,18.1,57861.0,28.9,21.5,24.4,20.4
2012-02-25,17.1,66197.0,29.1,21.6,18.1,20.3
2012-02-26,13.2,59579.0,27.5,22.5,17.1,19.4
2012-02-27,16.7,49311.5,30.1,22.4,13.2,17.9
2012-02-28,20.2,39044.0,32.7,22.2,16.7,17.1
2012-02-29,23.3,35382.0,35.5,23.0,20.2,18.1
2012-03-01,26.2,37348.0,34.8,24.9,23.3,19.9
2012-03-02,26.2,49219.0,36.6,25.8,26.2,22.5
2012-03-03,24.7,61914.0,43.3,25.9,26.2,24.1
2012-03-04,25.4,57136.0,44.3,28.2,24.7,25.2
2012-03-05,25.9,56267.0,39.7,28.3,25.4,25.7
2012-03-06,26.3,55398.0,35.1,28.4,25.9,25.7
2012-03-07,24.4,49109.0,42.2,28.3,26.3,25.3
2012-03-08,25.6,37390.0,37.6,27.8,24.4,25.5
2012-03-09,23.1,48019.0,36.2,25.9,25.6,25.1
