日期,市場,產品,上價,中價,下價,平均價(元/公斤),價格跟前一交易日比較%,交易量(公斤),交易量跟前一交易日比較%
100/01/11,800 高雄市,P1 番石榴 珍珠芭 ,45.0,34.9,21.2,34.2, -   ,1388, -   
100/01/12,800 高雄市,P1 番石榴 珍珠芭 ,30.0,30.0,30.0,30.0, - 12,8, - 99
100/01/12,400 台中市,P1 番石榴 珍珠芭 ,39.2,23.0,12.4,30.9, -  8,20382, - 13
100/01/12,109 台北一,P1 番石榴 珍珠芭 ,64.8,37.2,19.2,39.1, -  1,23706, - 24
100/01/12,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.4, -   ,231, - 11
100/01/12,241 三重區,P1 番石榴 珍珠芭 ,50.0,29.5,23.6,32.4, -  9,23983, - 10
100/01/12,600 嘉義市,P1 番石榴 珍珠芭 ,50.0,30.0,15.0,30.0, -   ,600, -  9
100/01/12,104 台北二,P1 番石榴 珍珠芭 ,62.1,38.8,19.8,39.7, -  7,10526, - 14
100/01/13,109 台北一,P1 番石榴 珍珠芭 ,72.1,42.9,22.3,44.7, + 14,15556, - 34
100/01/13,241 三重區,P1 番石榴 珍珠芭 ,57.8,30.6,25.6,35.0, +  8,9930, - 59
100/01/13,104 台北二,P1 番石榴 珍珠芭 ,73.4,49.0,30.2,50.1, + 26,3835, - 64
100/01/13,600 嘉義市,P1 番石榴 珍珠芭 ,58.0,33.0,17.0,33.0, + 10,540, - 10
100/01/13,400 台中市,P1 番石榴 珍珠芭 ,43.5,25.0,15.1,31.6, +  2,10364, - 49
100/01/13,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.2, -   ,220, -  5
100/01/14,104 台北二,P1 番石榴 珍珠芭 ,72.1,46.7,27.1,47.9, -  4,8288, +116
100/01/14,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.5, +  1,246, + 12
100/01/14,241 三重區,P1 番石榴 珍珠芭 ,54.1,31.2,25.5,34.7, -  1,27367, +176
100/01/14,109 台北一,P1 番石榴 珍珠芭 ,74.5,46.5,25.3,47.9, +  7,21603, + 39
100/01/14,400 台中市,P1 番石榴 珍珠芭 ,42.3,29.1,17.9,33.9, +  7,16035, + 55
100/01/14,600 嘉義市,P1 番石榴 珍珠芭 ,60.0,36.0,20.0,36.0, +  9,900, + 67
