month,crop,county,town
8,酪梨,台南市,3
8,香蕉,南投縣,4
8,香蕉,屏東縣,3
8,香蕉,高雄市,2
8,高接梨,台中市,4
8,高接梨,嘉義縣,1
8,高接梨,宜蘭縣,2
8,高接梨,苗栗縣,3
8,鳳梨,南投縣,2
8,鳳梨,台南市,6
8,鳳梨,嘉義縣,2
8,鳳梨,彰化縣,2
8,鳳梨,雲林縣,2
8,龍眼,南投縣,2
8,龍眼,台中市,3
8,龍眼,台南市,5
8,龍眼,嘉義縣,1
8,龍眼,高雄市,2
9,文旦柚,南投縣,2
9,文旦柚,台南市,2
9,文旦柚,台東縣,1
9,文旦柚,嘉義縣,1
9,文旦柚,宜蘭縣,1
9,文旦柚,花蓮縣,4
9,文旦柚,苗栗縣,2
9,文旦柚,雲林縣,1
9,木瓜,南投縣,1
9,木瓜,台南市,4
9,木瓜,嘉義縣,1
9,木瓜,屏東縣,4
9,木瓜,雲林縣,1
9,木瓜,高雄市,1
9,柿子,台中市,8
9,柿子,嘉義縣,2
9,柿子,新竹縣,4
9,柿子,苗栗縣,4
9,楊桃,台南市,1
9,楊桃,屏東縣,1
9,楊桃,苗栗縣,1
9,檸檬,屏東縣,3
9,溫帶梨,南投縣,1
9,溫帶梨,台中市,1
9,番石榴,台南市,2
9,番石榴,彰化縣,2
9,番石榴,高雄市,3
9,芒果,台南市,3
9,芒果,高雄市,1
9,葡萄,南投縣,3
9,葡萄,台中市,4
9,葡萄,彰化縣,4
9,葡萄,苗栗縣,1
9,葡萄柚,嘉義縣,3
9,酪梨,台南市,3
9,香蕉,南投縣,4
9,香蕉,屏東縣,3
9,香蕉,高雄市,2
9,鳳梨,南投縣,2
9,鳳梨,彰化縣,2
9,鳳梨,雲林縣,2
10,木瓜,南投縣,1
10,木瓜,台南市,4
10,木瓜,嘉義縣,1
10,木瓜,屏東縣,4
10,木瓜,雲林縣,1
10,木瓜,高雄市,1
10,柳橙,南投縣,1
10,柳橙,台南市,5
10,柳橙,嘉義縣,6
10,柳橙,雲林縣,2
10,柿子,台中市,10
10,柿子,嘉義縣,3
10,柿子,新竹縣,4
10,柿子,苗栗縣,4
10,椪柑,台中市,1
10,椪柑,台南市,1
10,椪柑,嘉義縣,3
10,椪柑,苗栗縣,1
10,椪柑,雲林縣,1
10,楊桃,台南市,1
10,楊桃,屏東縣,1
10,楊桃,苗栗縣,1
10,溫帶梨,南投縣,1
10,溫帶梨,台中市,1
10,番石榴,台南市,2
10,番石榴,彰化縣,2
10,番石榴,高雄市,3
10,葡萄,南投縣,3
10,葡萄,台中市,4
10,葡萄,彰化縣,4
10,葡萄,苗栗縣,1
10,葡萄柚,嘉義縣,3
10,香蕉,南投縣,4
10,香蕉,屏東縣,3
10,香蕉,高雄市,2
10,鳳梨,南投縣,2
10,鳳梨,彰化縣,2
10,鳳梨,雲林縣,2
11,木瓜,南投縣,1
11,木瓜,台南市,4
11,木瓜,嘉義縣,1
11,木瓜,屏東縣,4
11,木瓜,雲林縣,1
11,木瓜,高雄市,1
11,柳橙,南投縣,1
11,柳橙,台南市,5
11,柳橙,嘉義縣,6
11,柳橙,雲林縣,2
11,柿子,台中市,2
11,柿子,嘉義縣,1
11,椪柑,台中市,1
11,椪柑,台南市,1
11,椪柑,嘉義縣,3
11,椪柑,苗栗縣,1
11,椪柑,雲林縣,1
11,楊桃,台南市,1
11,楊桃,屏東縣,1
11,楊桃,苗栗縣,1
11,番石榴,台南市,2
11,番石榴,彰化縣,2
11,番石榴,高雄市,3
11,葡萄,南投縣,3
11,葡萄,台中市,4
11,葡萄,彰化縣,6
11,葡萄,苗栗縣,1
11,葡萄柚,嘉義縣,3
11,金柑,宜蘭縣,3
11,金柑,彰化縣,1
11,香蕉,南投縣,4
11,香蕉,屏東縣,3
11,香蕉,高雄市,2
12,印度棗,台南市,2
12,印度棗,屏東縣,4
12,印度棗,高雄市,3
12,木瓜,南投縣,1
12,木瓜,台南市,4
12,木瓜,嘉義縣,1
12,木瓜,屏東縣,4
12,木瓜,雲林縣,1
12,木瓜,高雄市,1
12,柳橙,南投縣,1
12,柳橙,台南市,5
12,柳橙,嘉義縣,6
12,柳橙,雲林縣,2
12,椪柑,台中市,1
12,椪柑,台南市,1
12,椪柑,嘉義縣,3
12,椪柑,苗栗縣,1
12,椪柑,雲林縣,1
12,楊桃,台南市,1
12,楊桃,屏東縣,1
12,楊桃,苗栗縣,1
12,海梨柑,新竹縣,4
12,海梨柑,苗栗縣,1
12,番石榴,台南市,2
12,番石榴,彰化縣,2
12,番石榴,高雄市,3
12,番荔枝,台南市,1
12,番荔枝,台東縣,8
12,葡萄,南投縣,3
12,葡萄,台中市,4
12,葡萄,彰化縣,6
12,葡萄,苗栗縣,1
12,蓮霧,屏東縣,11
12,蓮霧,高雄市,1
12,金柑,宜蘭縣,3
12,金柑,彰化縣,1
12,香蕉,南投縣,4
12,香蕉,屏東縣,3
12,香蕉,高雄市,2
