日期,pineapple_平均價,pineapple_交易量,甜蜜蜜_平均價,watermelon_平均價,pineapple_前日平均價,pineapple_5日平均價
2011-05-10,14.6,89150,,9.8,14.7,14.7
2011-05-11,14.9,76816,,9.1,14.6,14.8
2011-05-12,15.1,76490,17.0,9.6,14.9,14.8
2011-05-13,15.2,66357,,9.8,15.1,14.9
2011-05-14,16.8,81977,20.0,9.9,15.2,15.3
2011-05-15,17.1,75337,18.0,10.0,16.8,15.8
2011-05-16,17.1,75337,18.0,10.0,17.1,16.3
2011-05-17,16.6,92891,14.9,10.0,17.1,16.6
2011-05-18,16.3,50172,18.2,9.8,16.6,16.8
2011-05-19,17.1,29175,,10.0,16.3,16.8
2011-05-20,18.0,61532,26.0,10.0,17.1,17.0
2011-05-21,18.9,67519,26.9,9.8,18.0,17.4
2011-05-22,19.4,67036,23.3,10.0,18.9,17.9
2011-05-23,19.4,67036,23.3,10.0,19.4,18.6
2011-05-24,18.6,109197,21.5,9.8,19.4,18.9
2011-05-25,17.3,88410,17.4,10.0,18.6,18.7
2011-05-26,16.8,91162,19.1,9.9,17.3,18.3
2011-05-27,16.2,84232,23.8,9.6,16.8,17.7
2011-05-28,15.0,81826,17.1,10.0,16.2,16.8
2011-05-29,15.0,62733,17.9,9.9,15.0,16.1
2011-05-30,15.0,62733,17.9,9.9,15.0,15.6
2011-05-31,17.0,102880,,10.0,15.0,15.6
2011-06-01,18.4,108670,20.8,9.8,17.0,16.1
2011-06-02,18.3,90128,16.0,9.6,18.4,16.7
2011-06-03,17.8,55517,18.4,10.0,18.3,17.3
2011-06-04,17.7,69171,17.1,9.5,17.8,17.8
2011-06-05,17.9,69333,19.6,8.8,17.7,18.0
2011-06-06,18.3,52165,17.2,8.9,17.9,18.0
2011-06-07,18.3,52165,17.2,8.9,18.3,18.0
2011-06-08,18.3,52165,17.2,8.9,18.3,18.1
2011-06-09,17.7,86790,16.8,9.0,18.3,18.1
2011-06-10,18.5,70128,21.1,8.9,17.7,18.2
2011-06-11,19.9,65219,19.7,8.9,18.5,18.5
2011-06-12,20.4,55233,21.4,9.0,19.9,19.0
2011-06-13,20.4,55233,21.4,9.0,20.4,19.4
2011-06-14,21.9,65201,22.2,9.1,20.4,20.2
2011-06-15,23.5,64398,33.5,9.0,21.9,21.2
2011-06-16,28.5,52619,31.3,9.0,23.5,22.9
2011-06-17,29.2,34597,27.5,8.9,28.5,24.7
2011-06-18,28.8,27496,31.1,9.0,29.2,26.4
2011-06-19,30.7,28020,30.7,9.7,28.8,28.1
2011-06-20,30.7,28020,30.7,9.7,30.7,29.6
2011-06-21,29.5,44032,30.2,9.9,30.7,29.8
2011-06-22,32.9,27129,39.9,9.8,29.5,30.5
2011-06-23,31.4,40603,31.4,10.0,32.9,31.0
2011-06-24,32.4,32319,28.8,8.9,31.4,31.4
2011-06-25,29.8,41940,27.8,9.0,32.4,31.2
2011-06-26,28.7,27638,29.6,8.6,29.8,31.0
2011-06-27,28.7,27638,29.6,8.6,28.7,30.2
2011-06-28,27.8,55665,25.3,8.7,28.7,29.5
2011-06-29,26.7,54405,25.1,9.1,27.8,28.3
2011-06-30,27.4,67481,25.8,8.9,26.7,27.9
2011-07-01,24.1,61641,25.4,8.7,27.4,26.9
2011-07-02,20.9,46556,22.3,8.8,24.1,25.4
2011-07-03,18.2,33428,21.3,9.0,20.9,23.5
2011-07-04,18.2,33428,21.3,9.0,18.2,21.8
2011-07-05,18.2,60253,18.4,8.8,18.2,19.9
2011-07-06,17.2,39065,17.7,9.8,18.2,18.5
2011-07-07,17.2,34064,16.0,10.0,17.2,17.8
2011-07-08,17.0,35948,15.3,9.7,17.2,17.6
2011-07-09,16.9,38195,18.5,9.6,17.0,17.3
2011-07-10,17.0,43683,16.4,10.0,16.9,17.1
2011-07-11,17.0,43683,16.4,10.0,17.0,17.0
2011-07-12,18.0,46983,15.5,9.7,17.0,17.2
2011-07-13,18.3,53510,19.7,10.0,18.0,17.4
2011-07-14,20.2,74063,19.1,10.0,18.3,18.1
2011-07-15,18.9,62466,21.2,9.9,20.2,18.5
2011-07-16,17.1,45833,19.9,9.3,18.9,18.5
2011-07-17,16.0,37329,21.5,10.0,17.1,18.1
2011-07-18,16.0,37329,21.5,10.0,16.0,17.6
2011-07-19,15.8,75337,23.5,9.7,16.0,16.8
2011-07-20,14.8,58856,16.9,9.1,15.8,15.9
2011-07-21,14.6,59912,18.3,9.5,14.8,15.4
2011-07-22,14.1,51852,17.3,10.5,14.6,15.1
2011-07-23,13.8,49059,14.7,10.8,14.1,14.6
2011-07-24,13.8,36787,17.2,10.8,13.8,14.2
2011-07-25,13.8,36787,17.2,10.8,13.8,14.0
2011-07-26,13.6,55543,16.2,10.4,13.8,13.8
2011-07-27,13.5,44050,15.9,10.8,13.6,13.7
2011-07-28,13.3,42297,16.7,10.7,13.5,13.6
2011-07-29,13.8,36716,17.2,10.7,13.3,13.6
2011-07-30,14.5,58950,16.2,11.0,13.8,13.7
2011-07-31,14.3,38230,20.0,9.2,14.5,13.9
2011-08-01,14.3,38230,20.0,9.2,14.3,14.0
2011-08-02,13.6,36938,18.8,9.2,14.3,14.1
2011-08-03,14.9,36100,18.0,10.0,13.6,14.3
2011-08-04,15.1,38755,18.9,9.6,14.9,14.4
2011-08-05,14.9,34084,17.1,9.5,15.1,14.6
2011-08-06,15.0,22834,17.4,9.5,14.9,14.7
2011-08-07,16.5,29227,20.2,9.6,15.0,15.3
2011-08-08,16.5,29227,20.2,9.6,16.5,15.6
2011-08-09,16.1,33073,17.8,10.0,16.5,15.8
2011-08-10,15.7,27169,14.4,9.8,16.1,16.0
2011-08-11,15.6,27574,17.1,9.2,15.7,16.1
2011-08-12,16.0,23724,15.1,9.3,15.6,16.0
2011-08-13,17.0,37090,15.4,8.9,16.0,16.1
2011-08-14,16.0,25399,13.9,9.3,17.0,16.1
2011-08-15,16.0,25399,13.9,9.3,16.0,16.1
2011-08-16,16.0,25399,13.9,9.3,16.0,16.2
2011-08-17,15.5,31419,12.5,9.3,16.0,16.1
2011-08-18,13.4,18018,10.0,9.9,15.5,15.4
2011-08-19,13.4,19873,12.3,9.8,13.4,14.9
2011-08-20,13.6,25971,12.4,9.8,13.4,14.4
2011-08-21,13.1,17919,12.6,9.7,13.6,13.8
2011-08-22,13.1,17919,12.6,9.7,13.1,13.3
2011-08-23,13.2,24012,10.0,9.1,13.1,13.3
2011-08-24,13.2,11793,13.7,9.4,13.2,13.2
2011-08-25,12.8,17230,,9.4,13.2,13.1
2011-08-26,13.7,14509,11.9,9.1,12.8,13.2
2011-08-27,13.6,21954,14.0,8.5,13.7,13.3
2011-08-28,13.6,26386,10.2,10.0,13.6,13.4
2011-08-29,13.6,26386,10.2,10.0,13.6,13.5
2011-08-30,13.9,13014,,9.4,13.6,13.7
2011-08-31,13.9,6639,,8.7,13.9,13.7
2011-09-01,14.7,5228,15.0,10.0,13.9,13.9
2011-09-02,14.0,11123,,7.6,14.7,14.0
2011-09-03,14.0,15022,15.0,8.0,14.0,14.1
2011-09-04,14.1,11205,,10.0,14.0,14.1
2011-09-05,14.1,11205,,10.0,14.1,14.2
2011-09-06,13.5,22512,14.8,9.1,14.1,13.9
2011-09-07,13.0,11144,11.0,7.9,13.5,13.7
2011-09-08,12.9,9453,,10.0,13.0,13.5
2011-09-09,13.0,8354,,10.0,12.9,13.3
2011-09-10,13.0,16825,11.4,7.0,13.0,13.1
2011-09-11,13.2,12812,12.0,6.6,13.0,13.0
2011-09-12,14.9,5582,13.0,10.0,13.2,13.4
2011-09-13,14.9,5582,13.0,10.0,14.9,13.8
2011-09-14,14.9,5582,13.0,10.0,14.9,14.2
2011-09-15,13.2,21191,14.3,8.5,14.9,14.2
2011-09-16,13.8,10206,14.4,5.0,13.2,14.3
2011-09-17,14.7,12458,,10.0,13.8,14.3
2011-09-18,15.6,14243,18.6,8.4,14.7,14.4
2011-09-19,15.6,14243,18.6,8.4,15.6,14.6
2011-09-20,15.6,15521,15.7,11.1,15.6,15.1
2011-09-21,16.5,9895,,8.0,15.6,15.6
2011-09-22,16.1,9862,,7.0,16.5,15.9
2011-09-23,17.0,6733,14.5,10.9,16.1,16.2
2011-09-24,16.5,17890,,11.2,17.0,16.3
2011-09-25,18.7,19397,10.0,12.0,16.5,17.0
2011-09-26,18.7,19397,10.0,12.0,18.7,17.4
2011-09-27,17.8,23915,,11.3,18.7,17.7
2011-09-28,17.9,14443,,12.0,17.8,17.9
2011-09-29,18.9,6773,,9.9,17.9,18.4
2011-09-30,16.8,10486,,12.0,18.9,18.0
2011-10-01,16.5,11193,,12.0,16.8,17.6
2011-10-02,15.8,8493,,10.3,16.5,17.2
2011-10-03,15.8,8493,,10.3,15.8,16.8
2011-10-04,15.7,14815,,12.0,15.8,16.1
2011-10-05,16.2,13515,18.0,12.0,15.7,16.0
2011-10-06,14.6,11211,,12.0,16.2,15.6
2011-10-07,15.7,14031,,11.9,14.6,15.6
2011-10-08,15.2,14787,,11.3,15.7,15.5
2011-10-09,16.5,20149,,11.0,15.2,15.6
2011-10-10,16.5,20149,,11.0,16.5,15.7
2011-10-11,15.9,33924,13.0,11.0,16.5,16.0
2011-10-12,15.0,10728,,12.4,15.9,15.8
2011-10-13,14.4,7102,,12.1,15.0,15.7
2011-10-14,14.9,13229,,10.5,14.4,15.3
2011-10-15,13.8,12827,,12.5,14.9,14.8
2011-10-16,13.9,11818,,11.4,13.8,14.4
2011-10-17,13.9,11818,,11.4,13.9,14.2
2011-10-18,13.4,17482,15.2,11.6,13.9,14.0
2011-10-19,13.1,6352,,10.4,13.4,13.6
2011-10-20,13.1,8690,7.9,11.5,13.1,13.5
2011-10-21,12.3,14585,,9.9,13.1,13.2
2011-10-22,13.4,9592,12.0,10.4,12.3,13.1
2011-10-23,12.8,13261,,12.0,13.4,12.9
2011-10-24,12.8,13261,,12.0,12.8,12.9
2011-10-25,13.6,17680,,10.5,12.8,13.0
2011-10-26,14.3,23827,,12.0,13.6,13.4
2011-10-27,13.2,15671,,8.0,14.3,13.3
2011-10-28,13.3,5649,,12.0,13.2,13.4
2011-10-29,13.1,4369,,12.0,13.3,13.5
2011-10-30,14.7,3127,,10.7,13.1,13.7
2011-10-31,14.7,3127,,10.7,14.7,13.8
2011-11-01,13.7,13435,,9.8,14.7,13.9
2011-11-02,13.8,10925,,8.0,13.7,14.0
2011-11-03,15.1,8517,,10.0,13.8,14.4
2011-11-04,13.8,8885,,8.0,15.1,14.2
2011-11-05,15.1,10986,,,13.8,14.3
2011-11-06,16.1,7926,,12.0,15.1,14.8
2011-11-07,16.1,7926,,12.0,16.1,15.2
2011-11-08,16.7,25213,,8.9,16.1,15.6
2011-11-09,17.4,24954,,6.0,16.7,16.3
2011-11-10,18.4,13807,,10.0,17.4,16.9
2011-11-11,16.2,6486,,,18.4,17.0
2011-11-12,14.4,6382,,10.0,16.2,16.6
2011-11-13,15.6,5431,,9.6,14.4,16.4
2011-11-14,15.6,5431,,9.6,15.6,16.0
2011-11-15,15.2,15485,,10.0,15.6,15.4
2011-11-16,15.8,11811,15.0,9.9,15.2,15.3
2011-11-17,15.5,5691,,9.9,15.8,15.5
2011-11-18,13.6,10042,,,15.5,15.1
2011-11-19,14.0,7410,,9.2,13.6,14.8
2011-11-20,13.5,3794,,,14.0,14.5
2011-11-21,13.5,3794,,,13.5,14.0
2011-11-22,14.3,15999,,9.4,13.5,13.8
2011-11-23,15.0,12640,,9.0,14.3,14.1
2011-11-24,18.6,18794,,9.0,15.0,15.0
2011-11-25,16.5,9593,,9.7,18.6,15.6
2011-11-26,15.3,4906,,9.2,16.5,15.9
2011-11-27,17.1,3910,,,15.3,16.5
2011-11-28,17.1,3910,,,17.1,16.9
2011-11-29,18.2,5582,,9.0,17.1,16.8
2011-11-30,16.8,3993,,9.1,18.2,16.9
2011-12-01,16.7,5431,,9.0,16.8,17.2
2011-12-02,17.5,6278,,8.0,16.7,17.3
2011-12-03,16.5,2863,,,17.5,17.1
2011-12-04,18.3,3447,,8.0,16.5,17.2
2011-12-05,18.3,3447,,8.0,18.3,17.5
2011-12-06,18.9,12451,,9.5,18.3,17.9
2011-12-07,20.0,12189,,8.0,18.9,18.4
2011-12-08,17.1,18324,,10.0,20.0,18.5
2011-12-09,17.8,14138,,10.0,17.1,18.4
2011-12-10,16.4,990,,,17.8,18.0
2011-12-11,18.4,1856,,10.0,16.4,17.9
2011-12-12,18.4,1856,,10.0,18.4,17.6
2011-12-13,18.0,6356,,10.0,18.4,17.8
2011-12-14,17.9,3737,,,18.0,17.8
2011-12-15,18.5,7350,,,17.9,18.2
2011-12-16,15.9,5042,,10.0,18.5,17.7
2011-12-17,16.6,2712,,9.8,15.9,17.4
2011-12-18,19.4,1703,,,16.6,17.7
2011-12-19,19.4,1703,,,19.4,18.0
2011-12-20,17.0,5842,,9.4,19.4,17.7
2011-12-21,15.5,7363,,10.0,17.0,17.6
2011-12-22,16.7,10984,,,15.5,17.6
2011-12-23,17.0,12195,,10.0,16.7,17.1
2011-12-24,19.3,10503,,10.0,17.0,17.1
2011-12-25,17.3,5741,,10.0,19.3,17.2
2011-12-26,17.3,5741,,10.0,17.3,17.5
2011-12-27,15.4,5267,,10.0,17.3,17.3
2011-12-28,17.0,2475,,10.0,15.4,17.3
2011-12-29,15.7,6757,,10.0,17.0,16.5
2011-12-30,16.4,8855,,10.0,15.7,16.4
2011-12-31,16.4,6396,,9.9,16.4,16.2
2012-01-01,17.1,4799,,8.9,16.4,16.5
2012-01-02,17.1,4799,,8.9,17.1,16.5
2012-01-03,14.7,9378,,10.0,17.1,16.3
2012-01-04,15.4,5275,,10.0,14.7,16.1
2012-01-05,16.0,6057,,9.3,15.4,16.1
2012-01-06,16.4,17409,,10.0,16.0,15.9
2012-01-07,16.7,19547,,10.0,16.4,15.8
2012-01-08,16.3,9762,,8.5,16.7,16.2
2012-01-09,16.3,9762,,8.5,16.3,16.3
2012-01-10,14.2,5103,,8.0,16.3,16.0
2012-01-11,15.2,7058,,,14.2,15.7
2012-01-12,16.4,8470,,9.0,15.2,15.7
2012-01-13,15.5,5880,,8.3,16.4,15.5
2012-01-14,15.1,6600,,8.0,15.5,15.3
2012-01-15,16.2,5873,,10.0,15.1,15.7
2012-01-16,16.2,5873,,10.0,16.2,15.9
2012-01-17,16.6,25791,,9.6,16.2,15.9
2012-01-18,18.3,9676,,10.0,16.6,16.5
2012-01-19,16.5,15953,,10.0,18.3,16.8
2012-01-20,17.4,16126,,10.0,16.5,17.0
2012-01-21,16.8,12167,,8.0,17.4,17.1
2012-01-22,17.1,3563,,,16.8,17.2
2012-01-23,17.1,3563,,,17.1,17.0
2012-01-24,17.1,3563,,,17.1,17.1
2012-01-25,17.1,3563,,,17.1,17.0
2012-01-26,17.1,3563,,,17.1,17.1
2012-01-27,17.1,3563,,,17.1,17.1
2012-01-28,17.4,26851,,10.0,17.1,17.2
2012-01-29,16.9,27403,,9.0,17.4,17.1
2012-01-30,19.6,20288,,10.0,16.9,17.6
2012-01-31,19.6,20288,,10.0,19.6,18.1
2012-02-01,15.8,19636,,10.0,19.6,17.9
2012-02-02,13.6,12519,,9.8,15.8,17.1
2012-02-03,14.5,25892,,,13.6,16.6
2012-02-04,13.9,35239,,10.0,14.5,15.5
2012-02-05,13.4,22243,,10.0,13.9,14.2
2012-02-06,16.3,8921,,10.0,13.4,14.3
2012-02-07,16.3,8921,,10.0,16.3,14.9
2012-02-08,16.3,8921,,10.0,16.3,15.2
2012-02-09,13.9,14889,,9.2,16.3,15.2
2012-02-10,14.0,12749,,9.3,13.9,15.4
2012-02-11,14.7,18425,,,14.0,15.0
2012-02-12,15.6,8664,,10.0,14.7,14.9
2012-02-13,15.6,8664,,10.0,15.6,14.8
2012-02-14,13.9,19291,,8.5,15.6,14.8
2012-02-15,13.3,12034,,10.0,13.9,14.6
2012-02-16,13.6,10259,,10.0,13.3,14.4
2012-02-17,14.7,11875,,10.0,13.6,14.2
2012-02-18,14.9,14468,,,14.7,14.1
2012-02-19,16.9,10489,,9.7,14.9,14.7
2012-02-20,16.9,10489,,9.7,16.9,15.4
2012-02-21,17.4,49104,,8.1,16.9,16.2
2012-02-22,17.7,48674,,10.0,17.4,16.8
2012-02-23,16.6,22158,,11.0,17.7,17.1
2012-02-24,13.5,13908,,,16.6,16.4
2012-02-25,12.7,19057,,11.0,13.5,15.6
2012-02-26,11.2,10158,,,12.7,14.3
2012-02-27,11.2,10158,,,11.2,13.0
2012-02-28,12.8,23784,,10.5,11.2,12.3
2012-02-29,12.3,17449,,,12.8,12.0
2012-03-01,13.4,19057,,11.0,12.3,12.2
2012-03-02,13.1,29262,,6.8,13.4,12.6
2012-03-03,13.4,32468,,11.0,13.1,13.0
2012-03-04,14.7,34318,,,13.4,13.4
2012-03-05,14.7,34318,,,14.7,13.9
2012-03-06,15.5,94133,,11.0,14.7,14.3
2012-03-07,15.3,68154,,,15.5,14.7
2012-03-08,14.2,39572,,10.5,15.3,14.9
2012-03-09,13.4,31295,,11.0,14.2,14.6
2012-03-10,13.2,40620,,9.7,13.4,14.3
2012-03-11,14.6,21660,,11.0,13.2,14.1
2012-03-12,14.6,21660,,11.0,14.6,14.0
2012-03-13,13.2,40356,,9.9,14.6,13.8
2012-03-14,13.6,27994,,,13.2,13.8
2012-03-15,13.4,32516,,8.9,13.6,13.9
2012-03-16,13.3,29377,,,13.4,13.6
2012-03-17,13.9,42043,,10.3,13.3,13.5
2012-03-18,15.8,38445,,10.3,13.9,14.0
2012-03-19,15.8,38445,,10.3,15.8,14.4
2012-03-20,17.5,89263,,7.0,15.8,15.3
2012-03-21,17.7,92341,,,17.5,16.1
2012-03-22,16.5,71867,,9.7,17.7,16.7
2012-03-23,15.5,49487,,,16.5,16.6
2012-03-24,16.4,38559,,,15.5,16.7
2012-03-25,16.7,27061,,,16.4,16.6
2012-03-26,16.7,27061,,,16.7,16.4
2012-03-27,16.0,71538,,11.0,16.7,16.3
2012-03-28,16.2,43693,,11.0,16.0,16.4
2012-03-29,16.2,55978,,9.2,16.2,16.4
2012-03-30,16.2,52131,16.0,11.0,16.2,16.3
2012-03-31,15.8,51072,15.0,,16.2,16.1
2012-04-01,16.1,53197,,11.0,15.8,16.1
2012-04-02,17.5,58787,,9.5,16.1,16.4
2012-04-03,18.2,82770,,10.6,17.5,16.8
2012-04-04,18.2,82770,,10.6,18.2,17.2
2012-04-05,18.2,82770,,10.6,18.2,17.6
2012-04-06,17.3,104081,14.0,10.7,18.2,17.9
2012-04-07,15.9,78421,15.0,10.1,17.3,17.6
2012-04-08,16.0,59892,13.0,11.0,15.9,17.1
2012-04-09,16.0,59892,13.0,11.0,16.0,16.7
2012-04-10,14.9,92003,14.5,10.5,16.0,16.0
2012-04-11,14.8,78053,13.0,11.0,14.9,15.5
2012-04-12,14.8,67733,15.7,11.0,14.8,15.3
2012-04-13,15.6,60025,16.2,11.0,14.8,15.2
2012-04-14,15.2,89658,,10.7,15.6,15.1
2012-04-15,14.9,70187,15.1,11.0,15.2,15.1
2012-04-16,14.9,70187,15.1,11.0,14.9,15.1
2012-04-17,14.2,97841,15.8,10.7,14.9,15.0
2012-04-18,14.7,82292,13.0,10.4,14.2,14.8
2012-04-19,14.5,71072,,10.1,14.7,14.6
2012-04-20,15.7,101818,13.5,11.0,14.5,14.8
2012-04-21,15.8,65590,13.3,10.2,15.7,15.0
2012-04-22,17.0,40096,,9.9,15.8,15.5
2012-04-23,17.0,40096,,9.9,17.0,16.0
2012-04-24,16.5,74611,,10.0,17.0,16.4
2012-04-25,17.3,69215,15.9,11.0,16.5,16.7
2012-04-26,17.1,63066,,11.0,17.3,17.0
2012-04-27,18.4,50773,18.6,10.5,17.1,17.3
2012-04-28,18.1,67745,16.3,10.6,18.4,17.5
2012-04-29,18.3,57621,18.3,10.7,18.1,17.8
2012-04-30,18.3,57621,18.3,10.7,18.3,18.0
2012-05-01,19.2,72070,18.0,11.0,18.3,18.5
2012-05-02,22.1,67217,17.6,11.1,19.2,19.2
2012-05-03,23.8,79204,19.2,11.1,22.1,20.3
2012-05-04,24.8,105975,15.7,10.7,23.8,21.6
2012-05-05,24.6,77396,17.3,10.6,24.8,22.9
2012-05-06,25.7,42240,18.4,10.5,24.6,24.2
2012-05-07,25.7,42240,18.4,10.5,25.7,24.9
2012-05-08,25.5,73924,17.3,10.9,25.7,25.3
2012-05-09,25.1,64808,18.5,11.1,25.5,25.3
2012-05-10,25.1,52243,18.0,9.8,25.1,25.4
2012-05-11,25.5,50930,16.3,9.9,25.1,25.4
2012-05-12,25.3,67303,16.9,11.0,25.5,25.3
2012-05-13,24.5,59598,16.9,11.0,25.3,25.1
2012-05-14,24.5,59598,16.9,11.0,24.5,25.0
2012-05-15,24.6,75133,16.9,11.0,24.5,24.9
2012-05-16,24.7,61431,18.9,9.5,24.6,24.7
