ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
22,1009.7 ,1010.8 ,1011.5 ,2019-05-22 21:32 ,1008.2 ,2019-05-22 15:38 ,24.6 ,28.3 ,2019-05-22 13:30 ,21.7 ,2019-05-22 05:19 ,19.3 ,73 ,57 ,2019-05-22 08:43 ,0.9 ,310 ,5.5 ,80 ,2019-05-22 13:16 ,1.5 ,2.2 ,0.5 ,2019-05-22 19:01 ,1.2 ,2019-05-22 18:40 ,1.2 ,9.0 ,13.78 ,16.1 ,-2.3 ,8 ,2019-05-22 11:00 ,9.2 
23,1010.9 ,1012.0 ,1012.9 ,2019-05-23 22:37 ,1008.8 ,2019-05-23 03:35 ,23.6 ,24.4 ,2019-05-23 07:59 ,22.8 ,2019-05-23 15:28 ,21.5 ,88 ,81 ,2019-05-23 03:54 ,0.9 ,330 ,4.4 ,30 ,2019-05-23 12:21 ,9.0 ,8.0 ,1.5 ,2019-05-23 14:45 ,5.0 ,2019-05-23 14:24 ,0.0 ,0.0 ,2.28 ,9.4 ,-0.6 ,2 ,2019-05-23 11:00 ,10.0 
24,1012.5 ,1013.6 ,1013.8 ,2019-05-24 08:54 ,1011.1 ,2019-05-24 03:22 ,23.8 ,27.0 ,2019-05-24 11:22 ,22.5 ,2019-05-24 06:29 ,21.8 ,88 ,74 ,2019-05-24 14:26 ,1.1 ,360 ,7.3 ,50 ,2019-05-24 12:07 ,13.0 ,10.8 ,1.0 ,2019-05-24 16:59 ,4.0 ,2019-05-24 17:42 ,0.0 ,0.0 ,5.67 ,12.0 ,-0.9 ,6 ,2019-05-24 12:00 ,10.0 
25,1012.0 ,1013.1 ,1013.3 ,2019-05-25 10:58 ,1010.5 ,2019-05-25 16:17 ,24.7 ,27.6 ,2019-05-25 14:47 ,22.3 ,2019-05-25 01:25 ,21.4 ,82 ,69 ,2019-05-25 13:40 ,1.2 ,330 ,5.9 ,360 ,2019-05-25 05:12 ,6.0 ,2.6 ,2.0 ,2019-05-25 00:31 ,5.0 ,2019-05-25 00:01 ,0.0 ,0.0 ,6.09 ,15.6 ,-1.7 ,3 ,2019-05-25 14:00 ,9.9 
26,1010.6 ,1011.7 ,1012.3 ,2019-05-26 00:01 ,1008.7 ,2019-05-26 16:48 ,26.5 ,29.9 ,2019-05-26 15:16 ,23.5 ,2019-05-26 04:19 ,21.9 ,76 ,64 ,2019-05-26 17:07 ,0.9 ,320 ,5.3 ,190 ,2019-05-26 20:28 ,27.5 ,2.7 ,11.0 ,2019-05-26 20:28 ,24.5 ,2019-05-26 20:24 ,5.4 ,40.5 ,18.96 ,16.9 ,/ ,8 ,2019-05-26 12:00 ,8.3 
27,1008.2 ,1009.3 ,1010.3 ,2019-05-27 00:01 ,1006.1 ,2019-05-27 16:23 ,26.9 ,29.9 ,2019-05-27 09:24 ,24.0 ,2019-05-27 04:36 ,24.0 ,84 ,73 ,2019-05-27 09:01 ,0.7 ,310 ,4.1 ,190 ,2019-05-27 09:20 ,3.9 ,6.3 ,1.0 ,2019-05-27 04:10 ,1.2 ,2019-05-27 04:10 ,4.0 ,30.0 ,14.23 ,19.1 ,/ ,10 ,2019-05-27 11:00 ,9.4 
28,1008.1 ,1009.2 ,1010.3 ,2019-05-28 22:34 ,1006.8 ,2019-05-28 16:52 ,27.3 ,31.1 ,2019-05-28 11:14 ,25.1 ,2019-05-28 15:36 ,24.1 ,83 ,71 ,2019-05-28 08:01 ,1.1 ,310 ,5.6 ,50 ,2019-05-28 20:38 ,19.3 ,3.4 ,7.5 ,2019-05-28 14:57 ,16.5 ,2019-05-28 14:38 ,5.2 ,38.9 ,15.71 ,21.3 ,-5.2 ,12 ,2019-05-28 11:00 ,7.8 
29,1009.8 ,1010.9 ,1011.8 ,2019-05-29 21:31 ,1008.1 ,2019-05-29 02:19 ,24.6 ,26.3 ,2019-05-29 11:18 ,22.7 ,2019-05-29 18:35 ,21.1 ,81 ,72 ,2019-05-29 13:24 ,1.8 ,360 ,10.1 ,20 ,2019-05-29 11:21 ,0.1 ,3.0 ,0.1 ,2019-05-29 18:25 ,0.1 ,2019-05-29 17:55 ,0.0 ,0.0 ,4.99 ,13.5 ,-2.0 ,5 ,2019-05-29 12:00 ,9.8 
30,1009.4 ,1010.5 ,1011.3 ,2019-05-30 00:01 ,1007.4 ,2019-05-30 16:02 ,26.2 ,29.6 ,2019-05-30 11:32 ,22.9 ,2019-05-30 00:01 ,22.5 ,80 ,72 ,2019-05-30 12:46 ,1.1 ,60 ,6.1 ,40 ,2019-05-30 13:18 ,T ,0.8 ,T ,2019-05-30 01:45 ,T ,2019-05-30 01:45 ,3.9 ,29.2 ,19.40 ,23.9 ,-3.9 ,13 ,2019-05-30 12:00 ,8.6 
31,1007.4 ,1008.5 ,1009.3 ,2019-05-31 00:01 ,1004.8 ,2019-05-31 16:57 ,28.1 ,31.2 ,2019-05-31 11:35 ,25.2 ,2019-05-31 04:30 ,24.1 ,79 ,70 ,2019-05-31 09:14 ,1.0 ,170 ,6.8 ,30 ,2019-05-31 18:21 ,T ,0.7 ,T ,2019-05-31 19:55 ,T ,2019-05-31 19:50 ,5.6 ,41.8 ,19.17 ,18.1 ,-4.7 ,12 ,2019-05-31 11:00 ,7.8 
