日期,平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日射量(MJm2),累計雨量(mm)
2017-01-16,14.9,97,14.3,315.0,0.6,9999.0,1900-01-01 00:00:00,12.2,2017-01-16 07:00:00,87,2017-01-16 16:00:00,,,67.5,2.4,,17.9,2017-01-16 16:00:00,5.04,0.0
2017-01-17,16.5,91,14.8,90.0,0.9,9999.0,1900-01-01 00:00:00,12.7,2017-01-17 08:00:00,68,2017-01-17 14:00:00,,,270.0,2.8,,22.3,2017-01-17 15:00:00,12.09,0.0
2017-01-18,17.6,92,16.0,90.0,0.7,9999.0,1900-01-01 00:00:00,13.1,2017-01-18 03:00:00,64,2017-01-18 14:00:00,,,315.0,2.8,,24.5,2017-01-18 13:00:00,13.16,0.0
2017-01-19,19.2,86,16.5,112.5,0.8,9999.0,1900-01-01 00:00:00,15.6,2017-01-19 23:59:59,53,2017-01-19 14:00:00,,,337.5,3.2,,26.0,2017-01-19 14:00:00,13.73,0.0
2017-01-20,15.8,90,14.1,112.5,0.8,9999.0,1900-01-01 00:00:00,11.1,2017-01-20 23:00:00,73,2017-01-20 16:00:00,,,270.0,2.8,,21.5,2017-01-20 15:00:00,11.78,0.0
2017-01-21,13.9,88,11.8,292.5,0.7,9999.0,1900-01-01 00:00:00,10.3,2017-01-21 04:00:00,66,2017-01-21 16:00:00,,,247.5,2.8,,20.4,2017-01-21 15:00:00,8.48,0.5
2017-01-22,15.1,80,11.0,315.0,0.7,9999.0,1900-01-01 00:00:00,10.1,2017-01-22 01:00:00,47,2017-01-22 15:00:00,,,315.0,2.4,,22.2,2017-01-22 15:00:00,14.48,0.0
2017-01-23,16.0,82,12.7,112.5,0.8,9999.0,1900-01-01 00:00:00,12.6,2017-01-23 03:00:00,60,2017-01-23 15:00:00,,,315.0,2.9,,22.0,2017-01-23 14:00:00,10.44,0.0
2017-01-24,16.0,86,13.5,270.0,0.6,9999.0,1900-01-01 00:00:00,12.6,2017-01-24 23:59:59,67,2017-01-24 16:00:00,,,315.0,2.6,,20.7,2017-01-24 16:00:00,8.73,0.0
2017-01-25,14.6,92,13.0,90.0,0.7,9999.0,1900-01-01 00:00:00,10.6,2017-01-25 23:59:59,61,2017-01-25 16:00:00,,,360.0,2.4,,21.1,2017-01-25 16:00:00,6.01,0.0
2017-01-26,14.4,86,11.7,135.0,0.7,9999.0,1900-01-01 00:00:00,9.9,2017-01-26 07:00:00,50,2017-01-26 16:00:00,,,315.0,3.3,,21.8,2017-01-26 15:00:00,8.91,0.0
2017-01-27,16.2,73,10.4,135.0,1.0,9999.0,1900-01-01 00:00:00,10.8,2017-01-27 07:00:00,39,2017-01-27 14:00:00,,,315.0,3.9,,23.1,2017-01-27 14:00:00,17.50,0.0
2017-01-28,17.7,74,11.9,135.0,1.0,9999.0,1900-01-01 00:00:00,11.3,2017-01-28 03:00:00,29,2017-01-28 12:00:00,,,315.0,3.3,,26.8,2017-01-28 12:00:00,11.21,0.0
2017-01-29,18.9,77,14.1,157.5,0.8,9999.0,1900-01-01 00:00:00,13.5,2017-01-29 07:00:00,44,2017-01-29 14:00:00,,,292.5,3.6,,26.0,2017-01-29 16:00:00,12.50,0.0
2017-01-30,19.1,82,15.5,292.5,0.9,9999.0,1900-01-01 00:00:00,14.2,2017-01-30 23:59:59,55,2017-01-30 12:00:00,,,315.0,2.9,,26.7,2017-01-30 14:00:00,11.97,0.0
2017-01-31,16.4,89,14.5,292.5,0.7,9999.0,1900-01-01 00:00:00,12.2,2017-01-31 07:00:00,72,2017-01-31 13:00:00,,,22.5,2.9,,21.4,2017-01-31 13:00:00,11.22,0.0
2017-02-01,16.6,91,15.1,247.5,0.7,9999.0,1900-01-01 00:00:00,13.7,2017-02-01 23:59:59,76,2017-02-01 14:00:00,,,22.5,2.7,,21.3,2017-02-01 14:00:00,6.03,0.0
2017-02-02,15.4,90,13.7,315.0,0.6,9999.0,1900-01-01 00:00:00,12.4,2017-02-02 06:00:00,75,2017-02-02 14:00:00,,,270.0,2.4,,19.5,2017-02-02 13:00:00,7.09,0.0
2017-02-03,17.1,87,14.7,112.5,0.7,9999.0,1900-01-01 00:00:00,13.6,2017-02-03 04:00:00,59,2017-02-03 16:00:00,,,292.5,2.5,,23.1,2017-02-03 16:00:00,13.72,0.0
2017-02-04,17.3,89,15.4,112.5,0.6,9999.0,1900-01-01 00:00:00,14.0,2017-02-04 05:00:00,71,2017-02-04 14:00:00,,,270.0,2.1,,22.6,2017-02-04 14:00:00,7.72,0.0
2017-02-05,17.8,85,15.0,112.5,0.7,9999.0,1900-01-01 00:00:00,13.7,2017-02-05 04:00:00,50,2017-02-05 14:00:00,,,337.5,2.3,,23.4,2017-02-05 14:00:00,6.84,0.0
2017-02-06,16.8,89,14.8,135.0,0.8,9999.0,1900-01-01 00:00:00,12.7,2017-02-06 07:00:00,63,2017-02-06 16:00:00,,,337.5,2.7,,24.3,2017-02-06 15:00:00,15.05,0.0
2017-02-07,16.1,92,14.7,90.0,0.6,9999.0,1900-01-01 00:00:00,13.4,2017-02-07 23:00:00,77,2017-02-07 15:00:00,,,270.0,2.5,,19.7,2017-02-07 14:00:00,6.77,0.0
2017-02-08,16.4,89,14.5,90.0,0.5,9999.0,1900-01-01 00:00:00,13.9,2017-02-08 07:00:00,71,2017-02-08 16:00:00,,,337.5,2.8,,21.3,2017-02-08 11:00:00,5.58,0.0
2017-02-09,11.4,92,10.1,315.0,0.9,9999.0,1900-01-01 00:00:00,9.1,2017-02-09 23:00:00,81,2017-02-09 15:00:00,,,315.0,2.8,,14.3,2017-02-09 01:00:00,4.00,0.0
2017-02-10,10.7,78,7.0,292.5,0.7,9999.0,1900-01-01 00:00:00,7.9,2017-02-10 07:00:00,65,2017-02-10 14:00:00,,,337.5,2.7,,15.5,2017-02-10 14:00:00,5.12,0.0
2017-02-11,9.8,97,9.4,45.0,0.6,9999.0,1900-01-01 00:00:00,7.4,2017-02-11 06:00:00,83,2017-02-11 01:00:00,,,45.0,2.2,,11.4,2017-02-11 18:00:00,1.01,1.5
2017-02-12,13.1,87,10.8,292.5,0.6,9999.0,1900-01-01 00:00:00,9.6,2017-02-12 08:00:00,62,2017-02-12 15:00:00,,,292.5,2.4,,18.1,2017-02-12 15:00:00,8.99,0.0
2017-02-13,15.3,79,11.1,112.5,0.8,9999.0,1900-01-01 00:00:00,10.3,2017-02-13 07:00:00,45,2017-02-13 16:00:00,,,225.0,2.9,,22.0,2017-02-13 16:00:00,16.32,0.0
2017-02-14,16.1,73,10.6,135.0,0.8,9999.0,1900-01-01 00:00:00,10.4,2017-02-14 06:00:00,44,2017-02-14 13:00:00,,,225.0,3.0,,22.8,2017-02-14 13:00:00,13.15,0.0
2017-02-15,15.9,73,10.7,157.5,0.8,9999.0,1900-01-01 00:00:00,10.6,2017-02-15 05:00:00,49,2017-02-15 14:00:00,,,315.0,3.9,,21.8,2017-02-15 14:00:00,14.64,0.0
2017-02-16,17.0,68,10.4,135.0,0.9,9999.0,1900-01-01 00:00:00,11.2,2017-02-16 07:00:00,42,2017-02-16 15:00:00,,,315.0,3.4,,23.9,2017-02-16 15:00:00,18.16,0.0
2017-02-17,18.0,69,11.7,157.5,1.0,9999.0,1900-01-01 00:00:00,12.4,2017-02-17 07:00:00,43,2017-02-17 15:00:00,,,292.5,3.6,,25.2,2017-02-17 15:00:00,18.75,0.0
2017-02-18,17.5,81,13.9,135.0,0.9,9999.0,1900-01-01 00:00:00,12.0,2017-02-18 08:00:00,53,2017-02-18 12:00:00,,,315.0,3.8,,25.0,2017-02-18 14:00:00,15.86,0.0
2017-02-19,17.6,85,14.6,112.5,0.9,9999.0,1900-01-01 00:00:00,12.9,2017-02-19 06:00:00,52,2017-02-19 14:00:00,,,315.0,3.1,,24.7,2017-02-19 14:00:00,16.34,0.0
2017-02-20,20.7,82,17.2,135.0,0.8,9999.0,1900-01-01 00:00:00,15.7,2017-02-20 02:00:00,60,2017-02-20 13:00:00,,,360.0,3.2,,27.7,2017-02-20 13:00:00,12.05,0.0
2017-02-21,20.1,88,17.8,292.5,0.9,9999.0,1900-01-01 00:00:00,16.5,2017-02-21 05:00:00,63,2017-02-21 15:00:00,,,270.0,3.0,,26.0,2017-02-21 14:00:00,16.54,0.0
2017-02-22,19.1,98,18.8,112.5,0.8,9999.0,1900-01-01 00:00:00,16.3,2017-02-22 01:00:00,88,2017-02-22 10:00:00,,,45.0,2.8,,22.4,2017-02-22 13:00:00,5.85,3.0
2017-02-23,18.8,96,18.1,225.0,0.8,9999.0,1900-01-01 00:00:00,12.2,2017-02-23 23:59:59,87,2017-02-23 13:00:00,,,292.5,2.7,,24.9,2017-02-23 11:00:00,8.42,0.0
2017-02-24,12.2,100,12.2,225.0,0.8,9999.0,1900-01-01 00:00:00,11.2,2017-02-24 19:00:00,100,2017-02-24 08:00:00,,,337.5,2.6,,13.5,2017-02-24 06:00:00,0.86,1.0
2017-02-25,12.7,100,12.7,270.0,0.7,9999.0,1900-01-01 00:00:00,10.7,2017-02-25 01:00:00,100,2017-02-25 13:00:00,,,67.5,2.2,,14.9,2017-02-25 14:00:00,1.60,0.0
2017-02-26,12.8,99,12.7,315.0,0.7,9999.0,1900-01-01 00:00:00,11.2,2017-02-26 23:00:00,92,2017-02-26 17:00:00,,,45.0,2.5,,16.6,2017-02-26 16:00:00,3.51,3.5
2017-02-27,14.5,96,13.9,90.0,0.4,9999.0,1900-01-01 00:00:00,10.9,2017-02-27 01:00:00,90,2017-02-27 16:00:00,,,292.5,1.4,,16.5,2017-02-27 15:00:00,2.80,0.0
2017-02-28,16.4,91,14.8,112.5,0.7,9999.0,1900-01-01 00:00:00,12.7,2017-02-28 07:00:00,74,2017-02-28 11:00:00,,,315.0,3.1,,21.2,2017-02-28 11:00:00,8.94,0.0
2017-03-01,16.0,91,14.3,112.5,0.7,9999.0,1900-01-01 00:00:00,12.9,2017-03-01 03:00:00,72,2017-03-01 12:00:00,,,315.0,2.9,,21.4,2017-03-01 12:00:00,9.37,0.0
2017-03-02,15.9,74,10.8,112.5,1.0,9999.0,1900-01-01 00:00:00,11.3,2017-03-02 05:00:00,49,2017-03-02 15:00:00,,,337.5,3.2,,22.3,2017-03-02 16:00:00,15.70,0.0
2017-03-03,16.6,78,12.3,112.5,0.8,9999.0,1900-01-01 00:00:00,11.8,2017-03-03 06:00:00,50,2017-03-03 15:00:00,,,315.0,3.2,,22.1,2017-03-03 15:00:00,15.00,0.0
2017-03-04,18.7,76,14.0,112.5,1.0,9999.0,1900-01-01 00:00:00,13.2,2017-03-04 07:00:00,51,2017-03-04 14:00:00,,,315.0,3.4,,25.2,2017-03-04 14:00:00,15.18,0.0
2017-03-05,19.9,79,15.8,157.5,0.8,9999.0,1900-01-01 00:00:00,14.6,2017-03-05 06:00:00,57,2017-03-05 16:00:00,,,292.5,3.6,,25.4,2017-03-05 13:00:00,13.57,0.0
2017-03-06,18.2,93,17.0,180.0,0.8,9999.0,1900-01-01 00:00:00,14.2,2017-03-06 23:00:00,82,2017-03-06 16:00:00,,,337.5,3.5,,23.7,2017-03-06 11:00:00,6.53,2.0
2017-03-07,14.2,97,13.6,292.5,0.7,9999.0,1900-01-01 00:00:00,12.9,2017-03-07 21:00:00,87,2017-03-07 16:00:00,,,45.0,2.9,,17.0,2017-03-07 13:00:00,1.42,3.0
2017-03-08,13.5,100,13.5,292.5,0.6,9999.0,1900-01-01 00:00:00,12.5,2017-03-08 12:00:00,100,2017-03-08 01:00:00,,,45.0,1.9,,14.6,2017-03-08 03:00:00,0.55,15.5
2017-03-09,16.8,96,16.1,112.5,0.7,9999.0,1900-01-01 00:00:00,13.7,2017-03-09 07:00:00,81,2017-03-09 11:00:00,,,270.0,2.3,,20.9,2017-03-09 11:00:00,7.46,0.5
2017-03-10,18.6,94,17.5,112.5,0.7,9999.0,1900-01-01 00:00:00,15.9,2017-03-10 03:00:00,71,2017-03-10 14:00:00,,,67.5,2.6,,25.5,2017-03-10 14:00:00,7.36,0.0
2017-03-11,18.9,97,18.4,315.0,0.8,9999.0,1900-01-01 00:00:00,16.8,2017-03-11 08:00:00,82,2017-03-11 16:00:00,,,270.0,2.2,,23.7,2017-03-11 15:00:00,8.81,0.0
2017-03-12,20.0,94,19.0,292.5,0.9,9999.0,1900-01-01 00:00:00,17.2,2017-03-12 04:00:00,73,2017-03-12 14:00:00,,,247.5,3.0,,27.6,2017-03-12 14:00:00,11.29,0.5
2017-03-13,22.3,87,19.5,292.5,0.8,9999.0,1900-01-01 00:00:00,17.7,2017-03-13 23:59:59,59,2017-03-13 14:00:00,,,337.5,3.1,,28.9,2017-03-13 14:00:00,18.86,0.5
2017-03-14,16.1,98,15.7,315.0,0.9,9999.0,1900-01-01 00:00:00,13.4,2017-03-14 23:00:00,92,2017-03-14 14:00:00,,,337.5,3.0,,20.3,2017-03-14 13:00:00,6.51,2.0
2017-03-15,16.2,97,15.6,292.5,0.7,9999.0,1900-01-01 00:00:00,12.8,2017-03-15 04:00:00,89,2017-03-15 15:00:00,,,270.0,2.5,,20.9,2017-03-15 13:00:00,6.39,0.0
2017-03-16,16.9,100,16.8,292.5,0.7,9999.0,1900-01-01 00:00:00,14.4,2017-03-16 07:00:00,97,2017-03-16 17:00:00,,,247.5,2.6,,20.0,2017-03-16 13:00:00,4.30,1.0
2017-03-17,18.2,97,17.7,90.0,0.7,9999.0,1900-01-01 00:00:00,15.8,2017-03-17 01:00:00,84,2017-03-17 12:00:00,,,270.0,2.7,,22.6,2017-03-17 12:00:00,7.90,0.0
2017-03-18,20.6,91,19.0,90.0,0.8,9999.0,1900-01-01 00:00:00,16.7,2017-03-18 06:00:00,72,2017-03-18 15:00:00,,,247.5,2.9,,26.7,2017-03-18 14:00:00,11.47,0.0
2017-03-19,20.6,95,19.7,202.5,0.7,9999.0,1900-01-01 00:00:00,18.3,2017-03-19 05:00:00,71,2017-03-19 10:00:00,,,247.5,2.6,,26.3,2017-03-19 11:00:00,7.49,1.0
2017-03-20,21.3,95,20.5,112.5,0.6,9999.0,1900-01-01 00:00:00,18.4,2017-03-20 06:00:00,83,2017-03-20 12:00:00,,,315.0,2.4,,24.9,2017-03-20 13:00:00,6.77,0.0
2017-03-21,22.0,88,19.6,292.5,0.8,9999.0,1900-01-01 00:00:00,17.8,2017-03-21 23:59:59,57,2017-03-21 13:00:00,,,315.0,3.2,,28.6,2017-03-21 13:00:00,16.20,0.0
2017-03-22,20.0,94,18.9,292.5,0.7,9999.0,1900-01-01 00:00:00,17.0,2017-03-22 03:00:00,76,2017-03-22 12:00:00,,,337.5,2.8,,25.2,2017-03-22 12:00:00,9.08,0.0
2017-03-23,20.7,90,18.5,315.0,0.9,9999.0,1900-01-01 00:00:00,16.5,2017-03-23 04:00:00,47,2017-03-23 16:00:00,,,337.5,3.7,,28.8,2017-03-23 15:00:00,11.75,0.0
2017-03-24,21.4,86,18.7,112.5,0.9,9999.0,1900-01-01 00:00:00,17.2,2017-03-24 03:00:00,59,2017-03-24 12:00:00,,,225.0,3.1,,28.2,2017-03-24 16:00:00,18.32,0.0
2017-03-25,18.8,95,17.9,315.0,1.0,9999.0,1900-01-01 00:00:00,14.3,2017-03-25 23:59:59,79,2017-03-25 15:00:00,,,337.5,3.8,,25.2,2017-03-25 14:00:00,8.81,0.0
2017-03-26,13.5,100,13.5,315.0,0.7,9999.0,1900-01-01 00:00:00,12.3,2017-03-26 12:00:00,100,2017-03-26 09:00:00,,,315.0,2.2,,15.2,2017-03-26 17:00:00,0.42,14.5
2017-03-27,18.5,80,14.3,157.5,0.9,9999.0,1900-01-01 00:00:00,13.1,2017-03-27 07:00:00,43,2017-03-27 17:00:00,,,315.0,3.3,,25.5,2017-03-27 15:00:00,23.39,0.0
2017-03-28,18.4,78,14.3,157.5,0.8,9999.0,1900-01-01 00:00:00,13.1,2017-03-28 07:00:00,60,2017-03-28 12:00:00,,,270.0,2.9,,24.1,2017-03-28 12:00:00,12.78,0.0
2017-03-29,19.9,73,14.4,112.5,0.9,9999.0,1900-01-01 00:00:00,14.8,2017-03-29 06:00:00,42,2017-03-29 15:00:00,,,360.0,3.8,,27.0,2017-03-29 15:00:00,16.20,0.0
2017-03-30,21.0,83,17.5,112.5,0.8,9999.0,1900-01-01 00:00:00,16.0,2017-03-30 04:00:00,56,2017-03-30 11:00:00,,,292.5,3.5,,26.1,2017-03-30 13:00:00,12.55,0.0
2017-03-31,20.6,88,18.0,292.5,1.2,9999.0,1900-01-01 00:00:00,12.2,2017-03-31 23:59:59,55,2017-03-31 12:00:00,,,292.5,4.3,,28.9,2017-03-31 12:00:00,16.72,2.0
2017-04-01,15.2,88,12.8,180.0,1.2,9999.0,1900-01-01 00:00:00,11.4,2017-04-01 04:00:00,60,2017-04-01 16:00:00,,,360.0,3.7,,21.6,2017-04-01 15:00:00,14.40,11.0
2017-04-02,16.0,65,8.4,180.0,1.2,9999.0,1900-01-01 00:00:00,8.9,2017-04-02 07:00:00,31,2017-04-02 15:00:00,,,315.0,3.6,,23.9,2017-04-02 16:00:00,25.24,0.0
2017-04-03,17.6,66,10.2,180.0,1.1,9999.0,1900-01-01 00:00:00,10.6,2017-04-03 06:00:00,39,2017-04-03 12:00:00,,,22.5,3.5,,24.5,2017-04-03 14:00:00,22.98,0.0
2017-04-04,18.7,75,13.6,157.5,0.9,9999.0,1900-01-01 00:00:00,13.0,2017-04-04 05:00:00,43,2017-04-04 11:00:00,,,292.5,3.6,,25.0,2017-04-04 14:00:00,20.23,0.0
2017-04-05,20.9,73,15.2,112.5,0.9,9999.0,1900-01-01 00:00:00,16.6,2017-04-05 23:00:00,42,2017-04-05 14:00:00,,,315.0,3.2,,27.8,2017-04-05 14:00:00,22.74,0.0
2017-04-06,21.2,82,17.7,112.5,0.9,9999.0,1900-01-01 00:00:00,16.4,2017-04-06 01:00:00,56,2017-04-06 15:00:00,,,292.5,3.2,,27.5,2017-04-06 15:00:00,12.53,0.0
2017-04-07,22.4,90,20.5,180.0,0.8,9999.0,1900-01-01 00:00:00,19.0,2017-04-07 02:00:00,75,2017-04-07 15:00:00,,,45.0,4.0,,26.9,2017-04-07 15:00:00,10.41,0.0
2017-04-08,23.9,85,20.9,292.5,1.0,9999.0,1900-01-01 00:00:00,19.2,2017-04-08 03:00:00,58,2017-04-08 11:00:00,,,337.5,4.5,,29.0,2017-04-08 12:00:00,16.79,0.0
2017-04-09,24.0,91,22.3,315.0,1.0,9999.0,1900-01-01 00:00:00,19.1,2017-04-09 06:00:00,75,2017-04-09 16:00:00,,,292.5,3.0,,29.9,2017-04-09 15:00:00,14.83,0.0
2017-04-10,25.3,80,21.0,112.5,1.0,9999.0,1900-01-01 00:00:00,20.4,2017-04-10 07:00:00,50,2017-04-10 14:00:00,,,292.5,4.1,,32.1,2017-04-10 13:00:00,19.08,0.0
2017-04-11,24.4,91,22.8,112.5,1.1,9999.0,1900-01-01 00:00:00,20.5,2017-04-11 06:00:00,67,2017-04-11 10:00:00,,,247.5,3.3,,28.7,2017-04-11 14:00:00,7.67,2.5
2017-04-12,19.2,100,19.2,315.0,0.8,9999.0,1900-01-01 00:00:00,15.6,2017-04-12 23:59:59,100,2017-04-12 01:00:00,,,270.0,3.1,,22.6,2017-04-12 01:00:00,3.53,12.5
2017-04-13,17.6,100,17.6,112.5,0.5,9999.0,1900-01-01 00:00:00,15.2,2017-04-13 06:00:00,100,2017-04-13 02:00:00,,,45.0,2.0,,19.2,2017-04-13 15:00:00,2.12,30.0
2017-04-14,21.2,97,20.7,112.5,0.5,9999.0,1900-01-01 00:00:00,18.5,2017-04-14 01:00:00,88,2017-04-14 13:00:00,,,315.0,2.4,,25.4,2017-04-14 13:00:00,8.74,0.0
2017-04-15,23.0,94,21.8,157.5,0.5,9999.0,1900-01-01 00:00:00,18.6,2017-04-15 04:00:00,80,2017-04-15 14:00:00,,,315.0,2.3,,27.0,2017-04-15 14:00:00,10.53,0.0
2017-04-16,23.9,93,22.4,180.0,0.7,9999.0,1900-01-01 00:00:00,20.8,2017-04-16 03:00:00,68,2017-04-16 12:00:00,,,292.5,2.6,,30.2,2017-04-16 13:00:00,12.59,0.0
2017-04-17,24.3,90,22.5,180.0,0.8,9999.0,1900-01-01 00:00:00,19.6,2017-04-17 06:00:00,73,2017-04-17 12:00:00,,,225.0,2.9,,29.4,2017-04-17 14:00:00,13.39,0.0
2017-04-18,24.5,93,23.2,180.0,0.9,9999.0,1900-01-01 00:00:00,20.0,2017-04-18 06:00:00,78,2017-04-18 14:00:00,,,337.5,3.2,,30.3,2017-04-18 14:00:00,16.04,0.0
2017-04-19,24.5,93,23.3,315.0,0.9,9999.0,1900-01-01 00:00:00,20.3,2017-04-19 06:00:00,76,2017-04-19 12:00:00,,,292.5,3.0,,30.4,2017-04-19 12:00:00,15.48,2.5
2017-04-20,23.8,97,23.3,315.0,0.7,9999.0,1900-01-01 00:00:00,21.1,2017-04-20 04:00:00,85,2017-04-20 09:00:00,,,247.5,2.8,,27.9,2017-04-20 08:00:00,7.90,1.5
2017-04-21,23.9,93,22.6,270.0,0.9,9999.0,1900-01-01 00:00:00,20.6,2017-04-21 23:59:59,69,2017-04-21 11:00:00,,,247.5,4.3,,28.8,2017-04-21 11:00:00,10.52,12.0
2017-04-22,18.3,100,18.3,315.0,0.7,9999.0,1900-01-01 00:00:00,16.5,2017-04-22 19:00:00,100,2017-04-22 01:00:00,,,247.5,2.5,,21.1,2017-04-22 02:00:00,1.91,30.0
2017-04-23,18.6,100,18.6,292.5,0.6,9999.0,1900-01-01 00:00:00,16.8,2017-04-23 02:00:00,100,2017-04-23 02:00:00,,,67.5,2.2,,21.3,2017-04-23 12:00:00,2.53,1.0
2017-04-24,21.1,97,20.5,315.0,0.6,9999.0,1900-01-01 00:00:00,18.0,2017-04-24 05:00:00,84,2017-04-24 15:00:00,,,337.5,2.4,,26.3,2017-04-24 15:00:00,9.39,2.0
2017-04-25,22.8,97,22.1,315.0,0.6,9999.0,1900-01-01 00:00:00,19.9,2017-04-25 02:00:00,79,2017-04-25 13:00:00,,,292.5,2.7,,28.1,2017-04-25 14:00:00,11.75,0.0
2017-04-26,24.5,92,23.0,90.0,0.9,9999.0,1900-01-01 00:00:00,20.8,2017-04-26 06:00:00,77,2017-04-26 15:00:00,,,360.0,2.9,,29.4,2017-04-26 15:00:00,11.25,0.0
2017-04-27,18.7,100,18.7,315.0,0.6,9999.0,1900-01-01 00:00:00,14.7,2017-04-27 21:00:00,100,2017-04-27 01:00:00,,,45.0,1.9,,22.0,2017-04-27 01:00:00,1.38,26.0
2017-04-28,16.8,99,16.7,90.0,0.4,9999.0,1900-01-01 00:00:00,13.6,2017-04-28 07:00:00,94,2017-04-28 15:00:00,,,315.0,1.7,,19.5,2017-04-28 15:00:00,2.72,0.5
2017-04-29,20.1,87,17.6,135.0,0.8,9999.0,1900-01-01 00:00:00,15.9,2017-04-29 06:00:00,66,2017-04-29 15:00:00,,,337.5,3.2,,26.3,2017-04-29 13:00:00,16.77,0.0
2017-04-30,20.7,83,17.1,180.0,0.8,9999.0,1900-01-01 00:00:00,15.0,2017-04-30 06:00:00,56,2017-04-30 16:00:00,,,315.0,3.3,,26.5,2017-04-30 16:00:00,16.69,0.0
2017-05-01,22.0,83,18.3,180.0,0.7,9999.0,1900-01-01 00:00:00,16.7,2017-05-01 04:00:00,53,2017-05-01 13:00:00,,,292.5,2.7,,29.1,2017-05-01 14:00:00,12.97,0.0
2017-05-02,23.9,85,21.0,135.0,0.8,9999.0,1900-01-01 00:00:00,19.7,2017-05-02 04:00:00,59,2017-05-02 12:00:00,,,360.0,2.6,,30.0,2017-05-02 12:00:00,11.85,0.0
