banana_平均價,banana_交易量,scarletbanana_平均價,grava_平均價,banana_前日平均價,banana_5日平均價
35.0,17595.0,37.6,40.3,35.9,34.60000000000001
36.5,15756.0,35.5,38.0,35.0,35.46
35.4,16485.0,34.7,39.7,36.5,35.74
33.6,14505.0,31.3,37.3,35.4,35.28
34.4,11250.0,32.6,35.6,33.6,34.980000000000004
34.1,15863.0,36.0,34.7,34.4,34.8
34.1,15863.0,36.0,34.7,34.1,34.32
34.0,15363.0,37.7,35.3,34.1,34.04
35.6,18610.0,39.6,37.2,34.0,34.44
40.4,15780.0,43.0,38.9,35.6,35.64
40.6,18555.0,47.0,38.7,40.4,36.94
40.6,24152.0,50.5,38.7,40.6,38.239999999999995
40.5,19035.0,51.6,38.6,40.6,39.54
40.5,19035.0,51.6,38.6,40.5,40.519999999999996
42.2,19750.0,40.9,38.8,40.5,40.88
40.8,15967.0,34.5,37.8,42.2,40.92
39.7,16333.0,32.0,40.6,40.8,40.74
39.5,16485.0,35.7,39.2,39.7,40.540000000000006
39.7,15825.0,39.6,41.9,39.5,40.38000000000001
39.4,14562.0,34.8,37.7,39.7,39.82000000000001
39.4,14562.0,34.8,37.7,39.4,39.540000000000006
39.5,16197.0,44.7,46.5,39.4,39.500000000000014
41.2,16227.0,44.2,42.9,39.5,39.84000000000001
39.4,17020.0,38.0,39.8,41.2,39.78000000000001
38.7,23029.0,32.8,40.1,39.4,39.64
40.0,18907.0,29.7,37.7,38.7,39.760000000000005
40.3,23583.0,26.3,38.8,40.0,39.92
39.6,20325.0,36.0,43.0,40.3,39.6
39.6,20325.0,36.0,43.0,39.6,39.64
39.6,20325.0,36.0,43.0,39.6,39.81999999999999
39.9,24466.0,28.8,42.0,39.6,39.8
38.3,23460.0,21.1,40.8,39.9,39.39999999999999
38.3,17205.0,19.3,43.1,38.3,39.13999999999999
39.2,19338.0,17.1,45.0,38.3,39.059999999999995
39.2,19338.0,17.1,45.0,39.2,38.980000000000004
39.9,19305.0,16.8,42.1,39.2,38.980000000000004
39.6,20280.0,15.9,47.1,39.9,39.239999999999995
38.3,19225.0,16.7,42.6,39.6,39.239999999999995
38.3,19018.0,16.6,38.7,38.3,39.06
40.5,19410.0,14.9,40.8,38.3,39.32000000000001
39.9,29175.0,14.5,40.7,40.5,39.32000000000001
39.9,29175.0,14.5,40.7,39.9,39.38000000000001
39.9,21281.0,15.2,41.2,39.9,39.70000000000001
39.2,20601.0,14.4,41.5,39.9,39.88000000000001
37.4,18234.0,13.4,43.9,39.2,39.260000000000005
36.2,19754.0,12.4,38.9,37.4,38.52000000000001
37.7,15425.0,11.3,37.9,36.2,38.08000000000001
36.5,20545.0,12.7,39.6,37.7,37.40000000000001
36.5,20545.0,12.7,39.6,36.5,36.860000000000014
34.9,24493.0,12.1,39.3,36.5,36.360000000000014
35.5,17505.0,12.7,40.9,34.9,36.22000000000001
33.4,18906.0,14.0,38.7,35.5,35.360000000000014
32.1,18761.0,15.8,40.2,33.4,34.48000000000001
32.4,15560.0,15.8,39.4,32.1,33.66000000000001
34.0,20935.0,17.8,43.5,32.4,33.48000000000001
34.0,20935.0,17.8,43.5,34.0,33.180000000000014
36.0,24153.0,15.9,43.7,34.0,33.70000000000001
36.1,24453.0,14.3,41.3,36.0,34.500000000000014
35.4,23366.0,13.0,40.9,36.1,35.10000000000001
31.4,19408.0,12.9,46.3,35.4,34.58000000000001
32.1,15540.0,13.3,41.4,31.4,34.20000000000001
31.8,16215.0,16.1,41.6,32.1,33.360000000000014
31.8,16215.0,16.1,41.6,31.8,32.500000000000014
30.9,19449.0,15.9,36.7,31.8,31.600000000000016
28.6,21480.0,16.4,32.4,30.9,31.040000000000013
25.8,17310.0,15.0,26.1,28.6,29.78000000000002
25.1,17166.0,15.3,30.2,25.8,28.440000000000015
25.1,18529.0,18.3,32.4,25.1,27.100000000000012
27.1,20170.0,19.3,38.9,25.1,26.34000000000001
27.1,20170.0,19.3,38.9,27.1,26.04000000000001
27.2,26523.0,22.6,37.8,27.1,26.320000000000004
27.7,28890.0,28.1,40.9,27.2,26.840000000000003
28.5,23430.0,32.8,45.3,27.7,27.520000000000003
29.5,16874.0,31.5,40.7,28.5,28.000000000000007
26.3,23854.0,32.4,41.0,29.5,27.84000000000001
25.2,23912.0,34.8,36.8,26.3,27.44000000000001
25.2,23912.0,34.8,36.8,25.2,26.94000000000001
25.6,23127.0,36.5,37.5,25.2,26.360000000000007
23.8,23430.0,38.1,36.0,25.6,25.22000000000001
24.2,18726.0,40.6,36.3,23.8,24.800000000000008
23.3,19811.0,45.6,36.8,24.2,24.42000000000001
23.7,18255.0,50.0,35.2,23.3,24.120000000000008
24.4,17190.0,55.7,32.1,23.7,23.880000000000006
24.4,17190.0,55.7,32.1,24.4,24.000000000000007
26.1,20810.0,52.6,32.6,24.4,24.38000000000001
27.4,24264.0,62.8,33.6,26.1,25.20000000000001
28.0,26013.0,67.8,36.6,27.4,26.060000000000013
27.7,24578.0,67.4,36.3,28.0,26.72000000000001
27.0,19969.0,68.1,36.3,27.7,27.24000000000001
27.2,16567.0,61.9,37.4,27.0,27.460000000000008
26.8,17340.0,55.7,49.5,27.2,27.34000000000001
26.8,17340.0,55.7,49.5,26.8,27.100000000000012
26.8,17340.0,55.7,49.5,26.8,26.920000000000016
26.0,23891.0,28.1,33.8,26.8,26.720000000000017
22.5,26349.0,33.7,35.9,26.0,25.78000000000002
21.9,17443.0,41.0,34.1,22.5,24.80000000000002
20.7,20305.0,36.5,31.1,21.9,23.58000000000002
20.7,20305.0,36.5,31.1,20.7,22.36000000000002
19.0,28323.0,35.3,30.1,20.7,20.960000000000026
17.4,30270.0,24.6,30.5,19.0,19.940000000000026
18.5,30854.0,25.7,29.5,17.4,19.260000000000026
17.9,25543.0,25.9,28.1,18.5,18.700000000000024
17.8,22857.0,26.7,27.5,17.9,18.120000000000026
15.5,25918.0,24.7,25.5,17.8,17.420000000000023
15.5,25918.0,24.7,25.5,15.5,17.040000000000028
14.7,27953.0,20.2,27.1,15.5,16.280000000000026
12.5,26835.0,20.5,25.5,14.7,15.200000000000028
11.6,26478.0,17.8,21.5,12.5,13.960000000000027
10.8,23288.0,17.5,19.4,11.6,13.020000000000028
11.9,17310.0,16.8,20.1,10.8,12.30000000000003
11.3,17914.0,18.4,23.1,11.9,11.620000000000028
11.3,17914.0,18.4,23.1,11.3,11.380000000000027
12.2,21213.0,20.8,25.6,11.3,11.500000000000027
11.8,23387.0,28.3,27.5,12.2,11.700000000000028
13.8,21725.0,22.4,31.2,11.8,12.080000000000028
12.0,31766.0,21.5,28.7,13.8,12.22000000000003
13.1,25172.0,22.5,28.0,12.0,12.58000000000003
13.3,19313.0,19.8,25.4,13.1,12.80000000000003
13.3,19313.0,19.8,25.4,13.3,13.100000000000028
13.4,20445.0,18.0,24.6,13.3,13.02000000000003
12.5,20475.0,13.3,20.5,13.4,13.12000000000003
12.0,15780.0,13.7,19.6,12.5,12.90000000000003
11.5,17730.0,16.2,17.9,12.0,12.540000000000031
12.0,18480.0,19.0,17.5,11.5,12.280000000000033
12.7,17508.0,21.3,20.8,12.0,12.140000000000033
12.7,17508.0,21.3,20.8,12.7,12.180000000000032
12.9,17535.0,16.6,20.0,12.7,12.360000000000033
13.6,20489.0,16.8,24.6,12.9,12.780000000000033
16.0,20331.0,18.1,27.3,13.6,13.580000000000032
18.1,26715.0,21.6,27.7,16.0,14.660000000000034
19.0,24321.0,21.0,26.3,18.1,15.920000000000034
19.9,16110.0,18.7,25.3,19.0,17.320000000000032
19.9,16110.0,18.7,25.3,19.9,18.580000000000034
19.7,20025.0,17.8,24.5,19.9,19.320000000000036
19.3,20163.0,18.1,27.7,19.7,19.560000000000038
19.9,17916.0,17.6,23.7,19.3,19.740000000000038
18.1,19233.0,17.2,20.8,19.9,19.380000000000035
19.3,17725.0,15.7,19.9,18.1,19.260000000000037
20.6,15015.0,17.7,18.5,19.3,19.440000000000033
20.6,15015.0,17.7,18.5,20.6,19.70000000000004
20.3,22399.0,17.4,20.2,20.6,19.780000000000037
19.4,20850.0,18.9,21.8,20.3,20.04000000000004
17.4,19622.0,17.1,18.1,19.4,19.66000000000004
16.0,20481.0,16.3,17.1,17.4,18.740000000000038
16.3,21410.0,14.6,18.5,16.0,17.880000000000035
18.5,25628.0,14.4,21.0,16.3,17.520000000000035
18.5,25628.0,14.4,21.0,18.5,17.34000000000004
18.1,26295.0,15.8,18.5,18.5,17.480000000000036
16.3,22500.0,13.5,20.3,18.1,17.540000000000035
15.1,21722.0,11.6,18.2,16.3,17.300000000000033
12.4,22305.0,11.9,20.1,15.1,16.080000000000034
13.9,20982.0,12.6,18.9,12.4,15.160000000000036
14.0,20625.0,15.6,18.2,13.9,14.340000000000037
14.0,20625.0,15.6,18.2,14.0,13.880000000000038
12.8,24195.0,14.1,17.6,14.0,13.420000000000039
11.5,22590.0,12.1,15.6,12.8,13.240000000000038
12.0,21830.0,10.8,16.8,11.5,12.860000000000037
12.8,21167.0,12.6,16.2,12.0,12.620000000000037
11.7,31716.0,13.3,16.1,12.8,12.160000000000036
13.0,28033.0,17.7,18.0,11.7,12.200000000000037
13.0,28033.0,17.7,18.0,13.0,12.500000000000037
13.0,28033.0,17.7,18.0,13.0,12.700000000000037
12.6,26289.0,13.0,20.9,13.0,12.660000000000036
13.0,20650.0,9.6,19.4,12.6,12.920000000000035
11.9,23055.0,8.5,18.5,13.0,12.700000000000037
12.2,20897.0,9.8,19.9,11.9,12.540000000000038
12.7,18990.0,11.6,18.8,12.2,12.480000000000038
12.7,18990.0,11.6,18.8,12.7,12.500000000000039
12.3,23268.0,12.5,18.7,12.7,12.360000000000039
12.3,21675.0,13.1,16.2,12.3,12.440000000000039
12.0,20445.0,13.6,16.1,12.3,12.400000000000038
11.3,21735.0,16.2,17.0,12.0,12.120000000000037
12.5,18150.0,17.4,16.5,11.3,12.080000000000036
13.6,22093.0,19.0,14.4,12.5,12.340000000000035
13.6,22093.0,19.0,14.4,13.6,12.600000000000033
13.5,31278.0,17.1,20.6,13.6,12.900000000000034
13.1,25297.0,15.7,19.2,13.5,13.260000000000034
13.4,21705.0,16.7,22.2,13.1,13.440000000000035
13.9,18215.0,15.6,18.2,13.4,13.500000000000037
14.1,21802.0,15.8,16.5,13.9,13.600000000000037
13.0,14324.0,17.4,16.6,14.1,13.500000000000037
13.0,14324.0,17.4,16.6,13.0,13.480000000000038
13.2,23030.0,18.0,17.1,13.0,13.440000000000037
14.0,24228.0,19.5,18.3,13.2,13.460000000000036
13.2,12720.0,17.2,16.8,14.0,13.280000000000038
13.0,19469.0,15.5,15.6,13.2,13.280000000000038
13.2,20765.0,15.0,14.3,13.0,13.32000000000004
13.8,20654.0,13.2,14.6,13.2,13.440000000000037
14.0,29820.0,14.4,20.3,13.8,13.440000000000037
14.0,29820.0,14.4,20.3,14.0,13.600000000000037
14.0,29820.0,14.4,20.3,14.0,13.800000000000036
11.4,16935.0,15.0,13.9,14.0,13.440000000000037
12.3,22109.0,13.3,13.8,11.4,13.140000000000038
12.7,18123.0,13.9,13.3,12.3,12.880000000000038
12.5,20947.0,13.8,17.1,12.7,12.580000000000037
12.5,20947.0,13.8,17.1,12.5,12.280000000000038
11.9,28419.0,16.9,17.0,12.5,12.38000000000004
11.6,24965.0,18.6,14.9,11.9,12.240000000000041
12.1,25245.0,19.1,16.0,11.6,12.120000000000038
12.1,21730.0,17.9,16.3,12.1,12.040000000000038
12.3,23113.0,18.8,18.0,12.1,12.000000000000037
12.8,24817.0,20.5,22.1,12.3,12.180000000000037
12.8,24817.0,20.5,22.1,12.8,12.420000000000037
13.4,32470.0,21.2,20.0,12.8,12.680000000000037
13.3,29637.0,20.2,20.7,13.4,12.920000000000039
13.3,26400.0,17.8,16.9,13.3,13.120000000000038
12.1,28107.0,17.4,16.7,13.3,12.980000000000038
12.9,14952.0,16.8,16.1,12.1,13.000000000000039
12.8,22540.0,17.8,14.5,12.9,12.880000000000038
12.8,22540.0,17.8,14.5,12.8,12.780000000000038
12.5,27885.0,18.6,19.5,12.8,12.620000000000038
13.5,24390.0,18.4,20.8,12.5,12.90000000000004
14.1,26323.0,20.1,19.7,13.5,13.140000000000038
13.0,24035.0,22.2,22.9,14.1,13.180000000000039
14.1,22366.0,22.4,19.8,13.0,13.440000000000037
14.9,25590.0,23.7,21.7,14.1,13.920000000000039
14.9,25590.0,23.7,21.7,14.9,14.20000000000004
14.8,39154.0,24.1,27.6,14.9,14.34000000000004
14.9,29490.0,24.2,20.8,14.8,14.720000000000041
14.6,27525.0,20.8,20.2,14.9,14.820000000000041
14.2,27705.0,20.5,21.9,14.6,14.68000000000004
15.1,12245.0,22.0,19.7,14.2,14.720000000000038
15.5,20335.0,25.6,21.4,15.1,14.860000000000039
15.5,20335.0,25.6,21.4,15.5,14.980000000000038
15.9,25820.0,27.1,21.7,15.5,15.240000000000041
16.8,22235.0,27.4,21.2,15.9,15.760000000000039
16.0,27191.0,29.3,19.7,16.8,15.94000000000004
15.2,19708.0,29.3,17.7,16.0,15.880000000000042
16.0,19059.0,30.7,17.1,15.2,15.980000000000041
16.3,20855.0,32.4,17.7,16.0,16.060000000000038
16.3,20855.0,32.4,17.7,16.3,15.96000000000004
16.1,26737.0,36.3,18.8,16.3,15.980000000000041
17.7,23558.0,33.0,23.1,16.1,16.48000000000004
18.0,31519.0,31.7,22.1,17.7,16.88000000000004
18.5,26204.0,33.5,20.6,18.0,17.320000000000043
18.8,22090.0,34.1,17.6,18.5,17.820000000000043
18.6,21146.0,31.3,18.1,18.8,18.320000000000043
18.6,21146.0,31.3,18.1,18.6,18.500000000000043
17.0,29674.0,30.6,19.1,18.6,18.300000000000043
16.8,25020.0,30.7,15.3,17.0,17.960000000000043
17.2,28025.0,31.1,17.5,16.8,17.640000000000043
15.2,16916.0,31.8,17.1,17.2,16.960000000000043
16.2,22851.0,32.0,18.8,15.2,16.48000000000004
17.2,20760.0,30.0,19.9,16.2,16.520000000000042
17.2,20760.0,30.0,19.9,17.2,16.600000000000044
15.7,30746.0,26.6,21.5,17.2,16.300000000000043
16.5,30329.0,30.0,21.7,15.7,16.56000000000004
16.6,33765.0,33.8,20.3,16.5,16.64000000000004
15.5,30144.0,34.0,25.8,16.6,16.30000000000004
15.6,25221.0,31.8,22.6,15.5,15.980000000000038
16.7,19080.0,31.7,20.9,15.6,16.18000000000004
16.7,19080.0,31.7,20.9,16.7,16.220000000000038
16.6,29489.0,27.2,20.5,16.7,16.220000000000038
16.0,27000.0,24.8,18.3,16.6,16.32000000000004
14.9,32010.0,24.4,16.3,16.0,16.180000000000042
12.8,15731.0,21.6,15.9,14.9,15.40000000000004
14.7,19246.0,24.9,17.1,12.8,15.000000000000039
15.7,20640.0,21.6,19.0,14.7,14.82000000000004
15.7,20640.0,21.6,19.0,15.7,14.760000000000039
16.3,27416.0,23.8,20.8,15.7,15.040000000000038
17.1,16876.0,24.5,20.1,16.3,15.900000000000038
18.8,19238.0,23.5,21.8,17.1,16.720000000000034
19.4,30165.0,23.6,20.2,18.8,17.460000000000033
19.2,24423.0,26.1,23.5,19.4,18.160000000000032
19.5,20760.0,28.5,23.2,19.2,18.800000000000033
19.5,20760.0,28.5,23.2,19.5,19.280000000000037
18.3,24279.0,27.4,22.8,19.5,19.180000000000035
16.8,22677.0,24.3,20.6,18.3,18.660000000000036
16.1,22182.0,21.2,20.6,16.8,18.040000000000035
16.0,25922.0,22.9,18.6,16.1,17.340000000000035
16.6,11802.0,23.5,20.9,16.0,16.760000000000037
17.1,18921.0,26.7,18.5,16.6,16.520000000000035
17.1,18921.0,26.7,18.5,17.1,16.580000000000037
17.3,24714.0,28.6,17.7,17.1,16.82000000000004
17.4,23262.0,30.9,23.7,17.3,17.10000000000004
18.6,21615.0,29.8,25.2,17.4,17.50000000000004
19.4,40101.0,29.8,25.3,18.6,17.960000000000043
19.1,15333.0,29.0,23.8,19.4,18.360000000000042
19.4,20061.0,30.8,22.1,19.1,18.780000000000044
19.4,20061.0,30.8,22.1,19.4,19.180000000000042
19.5,29612.0,30.7,24.3,19.4,19.360000000000042
19.0,20184.0,30.0,20.6,19.5,19.28000000000004
16.8,14181.0,27.7,20.3,19.0,18.82000000000004
17.1,19760.0,28.8,19.4,16.8,18.360000000000035
17.8,19275.0,30.6,16.2,17.1,18.04000000000004
18.1,20652.0,33.0,20.0,17.8,17.760000000000037
18.1,20652.0,33.0,20.0,18.1,17.580000000000034
18.3,31620.0,35.7,19.8,18.1,17.880000000000035
17.6,20655.0,35.4,22.1,18.3,17.980000000000036
16.2,17775.0,34.4,15.2,17.6,17.660000000000036
15.7,22543.0,33.0,24.3,16.2,17.180000000000035
17.3,23175.0,31.6,24.9,15.7,17.02000000000003
16.9,32905.0,32.1,22.1,17.3,16.740000000000034
16.9,32905.0,32.1,22.1,16.9,16.600000000000033
16.6,27515.0,32.7,18.0,16.9,16.68000000000003
16.6,21381.0,32.5,24.2,16.6,16.860000000000035
17.1,17370.0,31.9,23.7,16.6,16.820000000000036
16.5,20325.0,34.0,21.1,17.1,16.740000000000038
17.1,16126.0,30.2,16.1,16.5,16.780000000000037
18.2,21521.0,32.5,17.3,17.1,17.100000000000033
18.2,21521.0,32.5,17.3,18.2,17.420000000000034
18.4,14700.0,32.2,21.8,18.2,17.680000000000035
18.9,19953.0,28.2,19.9,18.4,18.160000000000036
18.8,18523.0,21.5,17.4,18.9,18.500000000000036
19.5,22340.0,19.6,18.1,18.8,18.760000000000034
19.3,16890.0,21.2,19.1,19.5,18.980000000000032
20.3,25639.0,27.7,17.4,19.3,19.36000000000003
20.3,25639.0,27.7,17.4,20.3,19.640000000000033
20.2,27206.0,31.8,20.2,20.3,19.920000000000034
18.6,22410.0,29.1,15.1,20.2,19.74000000000003
18.2,18030.0,22.9,23.5,18.6,19.52000000000003
16.8,17385.0,18.0,20.4,18.2,18.820000000000032
17.4,14895.0,20.4,16.4,16.8,18.240000000000034
17.9,14610.0,22.3,18.3,17.4,17.780000000000033
17.9,14610.0,22.3,18.3,17.9,17.640000000000033
17.4,20415.0,21.4,18.8,17.9,17.480000000000032
16.8,22320.0,18.7,22.7,17.4,17.480000000000032
15.4,20820.0,13.3,15.9,16.8,17.080000000000034
14.5,21411.0,12.6,17.5,15.4,16.400000000000034
14.1,20250.0,15.2,26.1,14.5,15.640000000000033
15.0,17970.0,11.4,35.9,14.1,15.16000000000003
15.0,17970.0,11.4,35.9,15.0,14.800000000000031
15.0,17970.0,11.4,35.9,15.0,14.72000000000003
15.0,17970.0,11.4,35.9,15.0,14.82000000000003
15.0,17970.0,11.4,35.9,15.0,15.000000000000032
15.0,17970.0,11.4,35.9,15.0,15.000000000000032
15.6,30030.0,19.2,20.3,15.0,15.12000000000003
15.9,18915.0,14.4,22.0,15.6,15.300000000000031
15.3,25065.0,12.4,33.0,15.9,15.360000000000031
15.3,25065.0,12.4,33.0,15.3,15.42000000000003
15.7,21695.0,12.1,22.0,15.3,15.56000000000003
16.7,18515.0,10.4,19.6,15.7,15.780000000000033
15.2,16500.0,10.3,21.9,16.7,15.640000000000033
15.6,19680.0,10.4,21.1,15.2,15.700000000000031
18.0,18825.0,14.5,21.0,15.6,16.24000000000003
19.7,23370.0,22.8,20.6,18.0,17.04000000000003
19.7,23370.0,22.8,20.6,19.7,17.640000000000033
19.7,23370.0,22.8,20.6,19.7,18.54000000000003
20.6,25800.0,18.6,17.7,19.7,19.54000000000003
18.8,24885.0,16.5,23.4,20.6,19.70000000000003
17.5,21447.0,14.7,18.9,18.8,19.26000000000003
18.7,18570.0,13.0,22.4,17.5,19.06000000000003
18.7,18570.0,13.0,22.4,18.7,18.86000000000003
19.5,31970.0,16.1,18.5,18.7,18.640000000000033
19.7,21555.0,18.1,18.7,19.5,18.820000000000032
18.5,11925.0,15.2,19.0,19.7,19.02000000000003
17.8,20655.0,16.0,21.8,18.5,18.840000000000032
18.2,19109.0,16.2,20.5,17.8,18.74000000000003
18.3,20405.0,17.2,19.0,18.2,18.500000000000032
18.3,20405.0,17.2,19.0,18.3,18.22000000000003
19.7,25561.0,18.1,22.4,18.3,18.46000000000003
20.7,30930.0,24.0,21.3,19.7,19.04000000000003
21.1,25515.0,24.4,23.4,20.7,19.62000000000003
21.5,24651.0,18.1,22.8,21.1,20.26000000000003
21.6,16510.0,17.1,19.1,21.5,20.92000000000003
22.5,17307.0,13.2,17.2,21.6,21.48000000000003
22.5,17307.0,13.2,17.2,22.5,21.84000000000003
22.2,18301.0,20.2,19.7,22.5,22.06000000000003
23.0,20756.0,23.3,21.9,22.2,22.36000000000003
24.9,16191.0,26.2,27.2,23.0,23.02000000000003
25.8,18032.0,26.2,27.9,24.9,23.680000000000035
25.9,18047.0,24.7,21.6,25.8,24.360000000000035
28.2,18172.0,25.4,23.4,25.9,25.560000000000034
28.2,18172.0,25.4,23.4,28.2,26.600000000000033
28.4,24645.0,26.3,20.2,28.2,27.300000000000033
28.3,30561.0,24.4,20.7,28.4,27.800000000000033
27.8,25557.0,25.6,25.2,28.3,28.180000000000035
25.9,22916.0,23.1,23.3,27.8,27.720000000000038
26.7,16466.0,22.9,22.4,25.9,27.420000000000037
28.5,21285.0,27.0,22.7,26.7,27.440000000000037
28.5,21285.0,27.0,22.7,28.5,27.480000000000036
26.8,24961.0,30.0,21.5,28.5,27.280000000000037
26.3,24285.0,32.1,22.2,26.8,27.360000000000035
26.6,19793.0,26.7,23.1,26.3,27.34000000000004
27.2,20064.0,26.5,23.4,26.6,27.080000000000034
26.4,23055.0,26.6,20.6,27.2,26.660000000000036
26.5,22289.0,26.0,22.9,26.4,26.600000000000033
26.5,22289.0,26.0,22.9,26.5,26.640000000000033
26.4,23161.0,23.7,23.3,26.5,26.600000000000033
26.5,33491.0,22.8,24.0,26.4,26.460000000000036
25.4,35175.0,22.2,21.3,26.5,26.260000000000037
25.8,21537.0,21.9,21.6,25.4,26.12000000000004
26.6,26289.0,21.1,20.0,25.8,26.140000000000036
26.5,24158.0,20.6,26.1,26.6,26.160000000000036
26.5,24158.0,20.6,26.1,26.5,26.160000000000036
23.9,29311.0,19.3,21.7,26.5,25.860000000000035
22.7,28503.0,18.4,20.1,23.9,25.240000000000034
21.9,25746.0,19.6,21.6,22.7,24.300000000000033
20.7,19111.0,18.9,20.7,21.9,23.140000000000033
20.5,27420.0,19.8,20.4,20.7,21.940000000000033
19.5,25461.0,19.5,18.9,20.5,21.06000000000003
18.7,25221.0,21.2,22.9,19.5,20.26000000000003
19.0,29008.0,25.6,22.6,18.7,19.680000000000028
19.0,29008.0,25.6,22.6,19.0,19.34000000000003
19.0,29008.0,25.6,22.6,19.0,19.040000000000028
20.1,32805.0,27.7,25.1,19.0,19.160000000000032
20.4,30405.0,23.2,23.7,20.1,19.500000000000032
20.0,24555.0,21.0,27.4,20.4,19.70000000000003
20.0,24555.0,21.0,27.4,20.0,19.90000000000003
20.4,27498.0,18.9,24.4,20.0,20.180000000000028
19.8,25245.0,17.9,21.6,20.4,20.120000000000026
19.7,21919.0,18.9,21.4,19.8,19.98000000000003
18.6,27765.0,20.3,21.4,19.7,19.700000000000028
19.0,23402.0,22.1,18.7,18.6,19.50000000000003
18.7,23394.0,22.6,18.9,19.0,19.160000000000032
18.7,23394.0,22.6,18.9,18.7,18.940000000000033
17.5,27630.0,22.8,20.7,18.7,18.500000000000032
18.1,23851.0,25.4,22.8,17.5,18.400000000000034
19.0,24120.0,30.0,25.7,18.1,18.400000000000034
20.0,26835.0,29.9,22.7,19.0,18.660000000000032
20.9,32340.0,32.2,21.7,20.0,19.10000000000003
20.9,23737.0,36.8,22.2,20.9,19.78000000000003
20.9,23737.0,36.8,22.2,20.9,20.340000000000032
19.3,34643.0,32.9,24.6,20.9,20.40000000000003
18.4,27037.0,31.8,23.9,19.3,20.08000000000003
17.5,25770.0,28.3,23.4,18.4,19.400000000000027
16.5,27619.0,31.6,26.2,17.5,18.520000000000028
16.6,21030.0,31.8,22.7,16.5,17.660000000000025
16.9,29564.0,37.4,22.5,16.6,17.180000000000028
