,日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
58,100/03/16,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.1,17.7,13.2,18.3, +  5,11621, - 39
59,100/03/17,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26,18.9,15,19.5, +  7,20103, + 73
60,100/03/18,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.3,17.9,13.2,18.4, -  6,22525, + 12
61,100/03/19,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.4,16.4,12.6,17.1, -  7,23960, +  6
62,100/03/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.8,16.8,13.2,17.5, +  2,13422, - 44
63,100/03/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.5,18.1,12.4,19.2, + 10,14252, +  6
64,100/03/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.9,16.8,12.3,17.7, -  8,17604, + 24
65,100/03/24,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.7,16.7,12,17.4, -  2,16759, -  5
66,100/03/25,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.7,15,9.8,15.7, - 10,16659, -  1
67,100/03/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.5,16.7,10.5,17.2, + 10,13509, - 19
68,100/03/27,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.1,15.8,12,16.7, -  3,12300, -  9
69,100/03/29,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.2,18,13.9,19.4, + 16,8671, - 30
70,100/03/30,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.3,17.9,12.6,18.7, -  4,12576, + 45
71,100/03/31,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.3,18.5,12.6,19.5, +  4,13715, +  9
72,100/04/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.6,17.6,12.5,18.2, -  7,24304, + 77
73,100/04/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.7,16.1,11.3,17.1, -  6,27601, + 14
74,100/04/03,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.7,16.5,10.7,17, -  1,26666, -  3
75,100/04/04,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26.3,18.5,12.2,18.8, + 11,11316, - 58
76,100/04/07,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27,18.2,15.1,19.4, +  3,16717, + 48
77,100/04/08,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.8,18,14.2,19.4,0,17634, +  5
78,100/04/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.9,17.1,13.7,18.6, -  4,25330, + 44
79,100/04/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26.1,17.4,13.3,18.3, -  2,19543, - 23
80,100/04/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.5,15.7,12.8,17.1, -  7,26577, + 36
81,100/04/13,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27,17.1,12.8,18.2, +  6,17171, - 35
82,100/04/14,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.7,17.8,13.9,18.6, +  2,18963, + 10
83,100/04/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26.9,17.1,13.2,18.3, -  2,21263, + 12
84,100/04/16,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.5,16.6,13.5,17.8, -  3,34002, + 60
85,100/04/17,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26.1,16.8,13.7,18, +  1,24521, - 28
86,100/04/19,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.9,17.2,13.1,18.5, +  3,15374, - 37
87,100/04/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26.6,17.8,13.6,18.7, +  1,18217, + 18
88,100/04/21,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.3,17.6,12.3,18.5, -  1,19961, + 10
89,100/04/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.2,17.5,12,18.6, +  1,19147, -  4
90,100/04/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.6,18.1,14.8,19.3, +  4,26386, + 38
91,100/04/24,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.6,19.2,15,20.2, +  5,24242, -  8
92,100/04/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.9,18,13.8,18.7, -  7,31280, + 29
93,100/04/27,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.1,17.9,13.2,18.8, +  1,25211, - 19
94,100/04/28,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.9,18.5,15.3,19.9, +  6,23667, -  6
95,100/04/29,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.9,20,15.7,20.7, +  4,20458, - 14
96,100/04/30,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.7,19.6,14.5,20.4, -  1,26277, + 28
97,100/05/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.1,20,15.4,21.1, +  3,29835, + 14
98,100/05/03,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28,19.1,14.8,20, -  5,29045, -  3
99,100/05/04,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,32,20.3,14.5,21.5, +  8,19574, - 33
100,100/05/05,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.4,20.1,14.6,20.8, -  3,18701, -  4
101,100/05/06,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.7,21.5,15.6,22.1, +  6,17566, -  6
102,100/05/07,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.9,21.2,15,21.7, -  2,26951, + 53
103,100/05/08,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.1,19.8,15,20.3, -  6,30937, + 15
104,100/05/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.5,17.9,13,18.8, -  7,37817, + 22
105,100/05/11,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.7,18.2,14,19.2, +  2,25147, - 34
106,100/05/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.1,19.1,15,20.1, +  5,22807, -  9
107,100/05/13,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.8,19.7,15.7,20.7, +  3,21303, -  7
108,100/05/14,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.5,20,14.8,21.2, +  2,27192, + 28
109,100/05/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.9,20.5,16.3,21.9, +  3,26532, -  2
110,100/05/17,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.8,19.3,13.6,20.7, -  5,28901, +  9
111,100/05/18,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,37.8,25.6,20.5,27, + 30,17695, - 39
112,100/05/19,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,37.3,27,20.4,27.7, +  3,15509, - 12
113,100/05/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35.6,27.1,21.4,27.6, -  0,21060, + 36
114,100/05/21,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35.6,25.1,19.3,26.1, -  5,30047, + 43
115,100/05/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35,23.6,17.8,24.7, -  5,30947, +  3
116,100/05/24,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.6,22.1,16.1,22.8, -  8,33816, +  9
117,100/05/25,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.7,19.5,15.1,20.6, - 10,39298, + 16
118,100/05/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.1,18,13.7,19.1, -  7,32953, - 16
119,100/05/27,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.2,19.2,13,19.9, +  4,22457, - 32
120,100/05/28,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.2,19,12.7,19.8, -  1,23655, +  5
121,100/05/29,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.2,19,12.8,19.6, -  1,29849, + 26
122,100/05/31,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.5,20.3,14.3,20.9, +  7,35721, + 20
123,100/06/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.8,22.2,17.2,23.1, + 11,31537, - 12
124,100/06/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.8,20.8,16.4,21.9, -  5,32388, +  3
125,100/06/03,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35.7,22.7,18.5,24.5, + 12,18801, - 42
126,100/06/04,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,33.2,22.8,16.6,23.7, -  3,31073, + 65
127,100/06/05,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,32.7,23.2,18.3,24.1, +  2,32316, +  4
128,100/06/06,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.6,21.6,15.8,22.4, -  7,25427, - 21
129,100/06/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.9,21.9,15.3,22.6, +  1,32308, + 27
130,100/06/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,37.3,25.1,18.7,26.3, + 16,18573, - 43
131,100/06/11,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,41.4,28.1,22.4,29.6, + 13,12813, - 31
132,100/06/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,41.4,28.5,22,29.8, +  1,11826, -  8
133,100/06/14,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,50.8,35.8,26.1,36.9, + 24,14676, + 24
134,100/06/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,50.9,40.4,31.4,40.7, + 10,18447, + 26
135,100/06/16,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,48.9,36.8,30.4,37.9, -  7,17175, -  7
136,100/06/17,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,48.9,37.3,30.4,38.2, +  1,12327, - 28
137,100/06/18,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,56.5,39.5,30.8,41.1, +  8,10733, - 13
138,100/06/19,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,52.7,42.2,32.2,42.3, +  3,12705, + 18
139,100/06/21,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,53,43.4,32.4,43.1, +  2,11574, -  9
140,100/06/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,50.1,41.8,32.9,41.6, -  3,12095, +  5
141,100/06/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,46.3,39.2,28.4,38.5, -  7,15072, + 25
142,100/06/24,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,45.8,37.1,29.1,37.3, -  3,14219, -  6
143,100/06/25,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,42.8,34.4,25.9,34.4, -  8,15860, + 12
144,100/06/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,39.7,31.8,24.1,31.8, -  8,13396, - 16
145,100/06/28,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,42.3,31.5,21.9,31.7, -  0,15127, + 13
146,100/06/29,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,45.7,32.5,23.9,33.4, +  5,13396, - 11
147,100/06/30,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,44.7,32.8,21.1,32.9, -  1,19151, + 43
148,100/07/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,45.1,30.9,19.5,31.5, -  4,19021, -  1
149,100/07/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35.9,28.5,19.4,28.2, - 10,14115, - 26
150,100/07/03,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,37.6,26.3,16.7,26.6, -  6,17371, + 23
151,100/07/05,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,32.5,24.1,14.5,23.9, - 10,21779, + 25
152,100/07/06,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.7,20.9,13.7,21, - 12,20338, -  7
153,100/07/07,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30,19.4,14.1,20.5, -  2,14079, - 31
154,100/07/08,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.2,18.8,15.4,19.4, -  5,14024, -  0
155,100/07/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.5,19.2,12.7,19.6, +  1,12408, - 12
156,100/07/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.1,19.9,12.9,20.1, +  3,14802, + 19
157,100/07/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.1,19.8,12.1,20.1,0,17520, + 18
158,100/07/13,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.9,21.5,13.4,21.6, +  7,17660, +  1
159,100/07/14,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.8,22.4,14.3,22.7, +  5,16694, -  5
160,100/07/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.7,22,13.4,22, -  3,16057, -  4
161,100/07/16,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.2,20.2,13,20.4, -  7,15940, -  1
162,100/07/17,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.4,21.5,12.3,21.3, +  4,14819, -  7
163,100/07/19,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.6,19.7,12.2,19.4, -  9,23960, + 62
164,100/07/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.4,17.1,10.3,17, - 12,22335, -  7
165,100/07/21,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.7,17.2,8.9,16.8, -  1,17146, - 23
166,100/07/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,22,16.2,9.2,16, -  5,16496, -  4
167,100/07/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.7,16.2,8.7,16.2, +  1,18762, + 14
168,100/07/24,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,22.2,15,7,14.8, -  9,20706, + 10
169,100/07/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.6,17.8,7.2,17, + 15,13493, - 35
170,100/07/27,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26.8,20.1,8.1,19, + 12,7602, - 44
171,100/07/28,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.9,20.9,8,20.3, +  7,8112, +  7
172,100/07/29,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,34.9,25.2,14.3,25, + 23,9133, + 13
173,100/07/30,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,37.6,24.4,9.9,24.2, -  3,9741, +  7
174,100/07/31,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,37.7,24.5,10.2,24.3, +  0,9502, -  2
175,100/08/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,39.4,27.3,13.6,27, + 11,7956, - 16
176,100/08/03,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,38.8,24.8,12.1,25.1, -  7,6022, - 24
177,100/08/04,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,36.6,24.8,12.4,24.6, -  2,7879, + 31
178,100/08/05,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,33.2,24,13.5,23.7, -  4,5765, - 27
179,100/08/06,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,37.7,23.2,13.7,24.2, +  2,4062, - 30
180,100/08/07,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,41.8,27.5,17.6,28.4, + 17,3217, - 21
181,100/08/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,37.7,23.9,13,24.5, - 14,5713, + 78
182,100/08/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35,22.3,12.6,22.9, -  7,3793, - 34
183,100/08/11,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35.8,23.6,14.1,24.1, +  5,3265, - 14
184,100/08/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.9,23.8,12,23, -  5,3552, +  9
185,100/08/13,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35.3,21.5,8.6,21.7, -  6,6050, + 70
186,100/08/14,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,32.2,20.5,12.9,21.3, -  2,5747, -  5
187,100/08/17,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,32.7,20.3,10.9,20.9, -  2,6250, +  9
188,100/08/18,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.6,21.3,10.6,21.2, +  1,4707, - 25
189,100/08/19,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.4,17.2,11.3,18, - 15,6307, + 34
190,100/08/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.7,14.8,8.8,16.1, - 11,4145, - 34
191,100/08/21,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.1,14.1,6.1,15.1, -  6,6426, + 55
192,100/08/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.4,14.6,7.6,15, -  1,5064, - 21
193,100/08/24,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,32.9,15.1,8.6,17.3, + 15,2973, - 41
194,100/08/25,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.7,12.5,7.6,14.2, - 18,4755, + 60
195,100/08/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31,14.8,9.6,17, + 20,3758, - 21
196,100/08/27,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.6,14,7.1,15.9, -  6,6815, + 81
197,100/08/28,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29,16.5,8.4,17.4, +  9,6172, -  9
198,100/08/30,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,38.5,14.5,7.8,18, +  3,1954, - 68
199,100/08/31,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,46,34.3,7,31.2, + 73,353, - 82
200,100/09/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,33.4,22,16,23.1, - 26,1869,429
201,100/09/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,34.6,19.2,12.5,20.9, - 10,1893, +  1
202,100/09/03,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,35.9,19.1,8.4,20.3, -  3,2964, + 57
203,100/09/04,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26.2,14.7,7.9,15.6, - 23,3190, +  8
204,100/09/06,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,32.7,13.1,5.8,15.6,0,2889, -  9
205,100/09/07,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,39.8,18.7,13.2,21.8, + 40,1198, - 59
206,100/09/08,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.7,18.2,8.8,17, - 22,1238, +  3
207,100/09/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.3,20,17.1,21.5, + 26,1011, - 18
208,100/09/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27,18.7,10.9,18.8, - 13,3409,237
209,100/09/11,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,32.2,17.6,8.1,18.6, -  1,3576, +  5
210,100/09/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,40.3,18.1,8.4,20.6, + 11,2245, - 37
211,100/09/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,38.4,19.8,11.5,21.9, +  6,3254, + 45
212,100/09/16,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.1,18.6,10.9,19.6, - 11,2399, - 26
213,100/09/17,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,41.8,23.1,12.8,24.8, + 27,1763, - 27
214,100/09/18,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,38.7,23.1,13.7,24.4, -  2,2072, + 18
215,100/09/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,38.3,22.8,12.9,23.9, -  2,2646, + 28
216,100/09/21,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,38.7,23.5,13,24.4, +  2,1211, - 54
217,100/09/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,38.5,21.6,15.4,23.8, -  2,1977, + 63
218,100/09/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.7,21,14.5,21, - 12,2909, + 47
219,100/09/24,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.5,19,10.2,18.9, - 10,5927,104
