日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/06/10,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.3,5.4,11.2, +  8,"12,496", - 74
100/06/11,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.4,5.7,11.4, +  2,"11,886", -  5
100/06/12,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.8,7.0,11.9, +  4,"20,766", + 75
100/06/14,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.5,7.0,11.7, -  2,"36,850", + 77
100/06/15,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.1,6.8,11.4, -  3,"30,667", - 17
100/06/16,104 台北二  ,T1 西瓜 大西瓜 ,17.0,9.4,7.0,10.4, -  9,"40,838", + 33
100/06/17,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.4,7.0,11.7, + 12,"41,790", +  2
100/06/18,104 台北二  ,T1 西瓜 大西瓜 ,17.0,9.6,7.0,10.5, - 10,"41,058", -  2
100/06/19,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, + 14,"25,573", - 38
100/06/21,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.7,7.0,11.8, -  2,"57,567", +125
100/06/22,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, +  2,"46,960", - 18
100/06/23,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,"30,750", - 35
100/06/24,104 台北二  ,T1 西瓜 大西瓜 ,7.0,7.0,7.0,7.0, - 42,"10,629", - 65
100/06/25,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, + 71,"32,430", +205
100/06/26,104 台北二  ,T1 西瓜 大西瓜 ,17.0,9.4,7.0,10.4, - 13,"33,464", +  3
100/06/28,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, + 15,"34,380", +  3
100/06/29,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.4,7.0,12.2, +  2,"1,850", - 95
100/06/30,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.1,7.0,12.1, -  1,"42,938", +999
100/07/02,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.9,7.0,12.0,  -  ,"11,768",  -  
