,日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
27,100/02/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,60.3,36.4,22.5,38.4, - 21,"1,081", +521
28,100/02/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.4,35.1,20.7,36.3, -  5,213, - 80
29,100/02/08,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,68.3,55.0,39.9,54.7, + 51,545, +156
30,100/02/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,61.2,48.5,28.0,46.9, - 14,"1,483", +172
31,100/02/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,65.9,44.5,25.3,45.0, -  4,"1,191", - 20
32,100/02/11,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.9,39.6,24.6,40.1, - 11,"1,043", - 12
33,100/02/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.2,36.6,24.5,36.1, - 10,"1,137", +  9
34,100/02/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,57.6,38.2,19.1,38.2, +  6,634, - 44
35,100/02/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,58.2,38.4,30.1,40.7, +  7,938, + 48
36,100/02/16,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,62.6,43.8,30.6,44.9, + 10,"1,477", + 57
37,100/02/17,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,59.7,45.0,31.4,45.2, +  1,"1,048", - 29
38,100/02/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.9,39.5,27.2,40.3, - 11,"1,865", + 78
39,100/02/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,58.1,45.0,30.3,44.7, + 11,"1,272", - 32
40,100/02/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.8,36.9,30.5,38.2, - 15,995, - 22
41,100/02/24,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.5,33.8,23.2,34.4, - 10,"1,022", +  3
42,100/02/25,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.5,36.8,24.6,37.5, +  9,"1,190", + 16
43,100/02/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,45.6,36.7,24.5,36.0, -  4,783, - 34
44,100/02/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.7,37.7,27.4,38.6, +  7,790, +  1
45,100/03/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,58.7,43.3,27.9,43.3, + 12,967, + 22
46,100/03/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,57.9,38.7,23.1,39.4, -  9,"1,492", + 54
47,100/03/03,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,59.5,41.0,27.6,42.0, +  7,"1,297", - 13
48,100/03/04,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,54.6,42.7,29.4,42.4, +  1,"1,417", +  9
49,100/03/05,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.9,47.0,34.6,46.5, + 10,"1,437", +  1
50,100/03/06,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,57.5,45.7,33.2,45.5, -  2,975, - 32
51,100/03/08,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.7,44.8,34.0,45.0, -  1,827, - 15
52,100/03/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.1,39.9,30.0,40.0, - 11,"1,643", + 99
53,100/03/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.2,36.3,26.3,37.1, -  7,"1,640", -  0
54,100/03/11,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.4,33.7,24.4,33.8, -  9,"1,438", - 12
55,100/03/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.2,35.5,25.3,35.0, +  4,"1,068", - 26
56,100/03/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,48.7,41.1,34.8,41.3, + 18,"1,199", + 12
57,100/03/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.8,35.5,29.1,35.9, - 13,"2,010", + 68
58,100/03/16,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.9,38.1,28.9,38.6, +  8,"1,774", - 12
59,100/03/17,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.5,36.3,26.0,35.7, -  8,"1,808", +  2
60,100/03/18,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.3,42.2,30.2,42.4, + 19,"1,008", - 44
61,100/03/19,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.4,41.0,29.7,40.6, -  4,"2,011", +100
62,100/03/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,62.6,45.5,34.9,46.8, + 15,841, - 58
63,100/03/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.1,40.8,29.2,40.3, - 14,"1,190", + 41
64,100/03/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,53.2,43.9,33.4,43.7, +  8,"1,025", - 14
65,100/03/24,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,54.6,47.3,34.6,46.2, +  6,"1,107", +  8
66,100/03/25,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.0,42.1,34.1,42.1, -  9,"1,413", + 28
67,100/03/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.4,39.9,25.8,38.6, -  8,"1,987", + 41
68,100/03/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.7,38.4,27.7,38.1, -  1,"1,293", - 35
69,100/03/29,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.0,43.8,34.0,44.1, + 16,920, - 29
70,100/03/30,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.8,36.7,28.0,37.8, - 14,"2,165", +135
71,100/03/31,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.8,39.8,26.8,40.6, +  7,"1,400", - 35
72,100/04/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.4,39.5,30.9,39.4, -  3,"1,892", + 35
73,100/04/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,51.2,39.1,28.8,39.5, +  0,"2,968", + 57
74,100/04/03,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,60.3,48.5,34.4,48.1, + 22,"1,141", - 62
75,100/04/04,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,68.0,53.3,34.6,52.5, +  9,694, - 39
76,100/04/07,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,53.6,42.2,32.2,42.5, - 19,"2,060", +197
77,100/04/08,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.2,41.4,25.9,41.0, -  4,"1,376", - 33
78,100/04/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.3,41.9,28.2,41.2, +  0,"2,167", + 57
79,100/04/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,53.7,40.5,28.5,40.8, -  1,"1,471", - 32
80,100/04/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,51.7,39.0,31.0,40.0, -  2,"2,436", + 66
81,100/04/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,54.4,40.7,26.4,40.6, +  2,"1,169", - 52
82,100/04/14,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,51.6,38.9,28.5,39.4, -  3,"2,192", + 88
83,100/04/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.4,38.0,26.7,38.0, -  4,"2,587", + 18
84,100/04/16,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.6,37.4,27.1,37.8, -  1,"3,517", + 36
85,100/04/17,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,61.1,45.2,29.8,45.3, + 20,"1,559", - 56
86,100/04/19,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,57.5,42.4,35.2,44.0, -  3,"2,052", + 32
87,100/04/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.8,37.6,26.1,37.9, - 14,"2,042", -  0
88,100/04/21,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,57.1,44.1,25.8,43.0, + 13,"1,363", - 33
89,100/04/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.1,41.5,24.0,39.5, -  8,"1,711", + 26
90,100/04/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.4,40.1,29.1,40.0, +  1,"1,754", +  3
91,100/04/24,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,58.1,44.2,27.7,43.7, +  9,"1,460", - 17
92,100/04/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,54.8,41.3,31.2,42.0, -  4,"2,815", + 93
93,100/04/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.2,38.5,22.0,38.5, -  8,"1,647", - 41
94,100/04/28,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.1,38.0,27.7,37.6, -  2,"1,969", + 20
95,100/04/29,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.3,37.2,25.1,38.6, +  3,"1,774", - 10
96,100/04/30,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,54.2,38.6,29.5,39.9, +  3,"2,830", + 60
97,100/05/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.1,38.0,27.2,39.4, -  1,"2,938", +  4
98,100/05/03,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,59.9,40.3,25.6,41.3, +  5,"3,119", +  6
99,100/05/04,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,58.3,44.2,31.0,44.3, +  7,"1,696", - 46
100,100/05/05,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.9,40.9,27.7,40.7, -  8,"1,157", - 32
101,100/05/06,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.0,38.8,29.6,39.2, -  4,"2,407", +108
102,100/05/07,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,51.2,39.3,29.1,39.6, +  1,"1,996", - 17
103,100/05/08,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,51.7,38.3,23.3,38.0, -  4,"1,665", - 17
104,100/05/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.0,36.5,22.2,36.8, -  3,"2,833", + 70
105,100/05/11,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.2,36.6,19.4,35.1, -  5,"2,360", - 17
106,100/05/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,42.2,30.5,19.2,30.6, - 13,"2,685", + 14
107,100/05/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.3,33.0,17.6,32.8, +  7,"1,897", - 29
108,100/05/14,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,42.7,31.9,19.6,31.6, -  4,"3,548", + 87
109,100/05/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.3,33.2,17.2,32.8, +  4,"3,770", +  6
110,100/05/17,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.0,31.8,20.9,32.4, -  1,"4,300", + 14
111,100/05/18,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,60.1,34.6,23.7,37.5, + 16,"1,479", - 66
112,100/05/19,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.6,41.2,27.7,41.6, + 11,"1,361", -  8
113,100/05/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.3,38.8,26.2,39.6, -  5,"2,064", + 52
114,100/05/21,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.5,38.9,30.4,39.9, +  1,"2,116", +  3
115,100/05/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.5,36.0,24.1,35.9, - 10,"3,108", + 47
116,100/05/24,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.8,33.0,21.4,34.3, -  4,"1,635", - 47
117,100/05/25,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.0,37.7,25.3,37.7, + 10,"2,301", + 41
118,100/05/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,40.2,32.5,20.9,31.7, - 16,"3,258", + 42
119,100/05/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.7,29.1,18.4,29.9, -  6,"2,392", - 27
120,100/05/28,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,40.5,28.0,16.2,28.2, -  6,"2,383", -  0
121,100/05/29,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,51.1,30.9,20.2,32.8, + 16,"2,133", - 10
122,100/05/31,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,44.5,30.8,18.3,31.0, -  5,"5,108", +139
123,100/06/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.9,32.4,19.1,32.8, +  6,"3,520", - 31
124,100/06/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,53.4,35.3,23.5,36.6, + 12,"2,870", - 18
125,100/06/03,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.6,36.2,22.5,35.5, -  3,"1,702", - 41
126,100/06/04,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,45.3,33.2,23.9,33.8, -  5,"3,436", +102
127,100/06/05,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,44.7,31.0,22.0,31.9, -  6,"3,304", -  4
128,100/06/06,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.1,33.1,19.2,34.7, +  9,"1,159", - 65
129,100/06/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.2,28.9,16.4,30.1, - 13,"3,595", +210
130,100/06/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,50.9,32.9,17.1,33.3, + 11,"2,930", - 18
131,100/06/11,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,41.6,31.1,18.5,30.7, -  8,"3,442", + 17
132,100/06/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,40.8,24.2,12.3,25.1, - 18,"3,871", + 12
133,100/06/14,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,38.9,25.5,13.7,25.8, +  3,"4,801", + 24
134,100/06/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,42.3,26.0,14.6,27.0, +  5,"5,444", + 13
135,100/06/16,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.0,26.9,13.8,28.3, +  5,"3,253", - 40
136,100/06/17,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,45.4,27.1,8.4,27.0, -  5,"2,421", - 26
137,100/06/18,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,42.9,26.8,13.0,27.2, +  1,"3,120", + 29
138,100/06/19,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.9,24.6,14.8,26.5, -  3,"2,667", - 15
139,100/06/21,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,39.3,20.6,9.7,22.2, - 16,"4,667", + 75
140,100/06/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,36.5,20.1,9.3,21.2, -  5,"2,288", - 51
141,100/06/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,33.7,19.0,9.9,20.1, -  5,"4,014", + 75
142,100/06/24,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,35.5,18.5,7.8,19.7, -  2,"3,812", -  5
143,100/06/25,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,33.9,18.8,8.7,19.8, +  1,"4,093", +  7
144,100/06/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,35.9,21.1,12.3,22.3, + 13,"2,220", - 46
145,100/06/28,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,34.2,21.5,10.8,21.9, -  2,"3,584", + 61
146,100/06/29,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,38.9,22.6,14.3,24.2, + 11,"2,916", - 19
147,100/06/30,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,40.2,27.0,11.9,26.6, + 10,"4,171", + 43
148,100/07/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,36.8,21.5,12.0,22.7, - 15,"3,829", -  8
149,100/07/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,40.9,24.7,15.4,26.1, + 15,"2,984", - 22
150,100/07/03,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,36.0,19.7,11.8,21.4, - 18,"3,124", +  5
151,100/07/05,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,37.5,24.5,13.6,24.9, + 16,"3,344", +  7
152,100/07/06,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,34.5,18.7,7.9,19.7, - 21,"3,366", +  1
153,100/07/07,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,31.6,15.2,7.1,16.9, - 14,"3,951", + 17
154,100/07/08,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,29.7,14.9,6.9,16.3, -  4,"4,126", +  4
155,100/07/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.6,15.5,10.1,16.8, +  3,"3,861", -  6
156,100/07/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,24.1,15.2,10.1,16.0, -  5,"3,264", - 15
157,100/07/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,28.8,19.1,10.6,19.3, + 21,"4,660", + 43
158,100/07/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,31.8,18.9,11.1,19.9, +  3,"5,020", +  8
159,100/07/14,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,32.1,20.8,11.1,21.1, +  6,"5,030", +  0
160,100/07/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,33.0,18.9,12.0,20.3, -  4,"4,433", - 12
161,100/07/16,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,32.5,20.9,14.2,21.9, +  8,"2,679", - 40
162,100/07/17,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,33.1,22.9,14.2,23.2, +  6,"1,903", - 29
163,100/07/19,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,33.0,21.0,13.2,21.9, -  6,"3,184", + 67
164,100/07/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,34.7,19.9,10.5,21.0, -  4,"2,774", - 13
165,100/07/21,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,33.1,20.7,13.3,21.7, +  3,"2,827", +  2
166,100/07/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.6,17.3,11.5,18.2, - 16,"4,613", + 63
167,100/07/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.5,16.0,8.0,16.7, -  8,"4,185", -  9
168,100/07/24,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,29.5,17.5,9.7,18.3, + 10,"3,156", - 25
169,100/07/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,29.0,16.3,9.1,17.4, -  5,"4,399", + 39
170,100/07/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,31.3,16.3,11.4,18.4, +  6,"4,706", +  7
171,100/07/28,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,29.0,15.9,8.9,17.1, -  7,"5,565", + 18
172,100/07/29,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.8,15.6,7.8,16.5, -  4,"6,268", + 13
173,100/07/30,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,28.8,16.1,7.8,17.0, +  3,"6,243", -  0
174,100/07/31,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,32.1,18.2,9.6,19.3, + 14,"3,922", - 37
175,100/08/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,32.5,16.2,9.5,18.1, -  6,"4,222", +  8
176,100/08/03,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,28.4,16.7,11.2,18.0, -  1,"4,107", -  3
177,100/08/04,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,26.1,15.4,10.0,16.5, -  8,"4,113", +  0
178,100/08/05,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,26.1,14.6,8.8,15.7, -  5,"4,434", +  8
179,100/08/06,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.0,14.0,9.6,15.7,    0,"3,711", - 16
180,100/08/07,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,33.6,15.1,8.7,17.5, + 11,"2,816", - 24
181,100/08/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,26.3,15.3,8.8,16.2, -  7,"5,319", + 89
182,100/08/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.9,13.4,7.7,15.2, -  6,"4,683", - 12
183,100/08/11,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,24.8,12.3,6.2,13.6, - 11,"5,531", + 18
184,100/08/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,26.6,13.2,5.6,14.4, +  6,"5,892", +  7
185,100/08/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.0,14.9,6.8,15.7, +  9,"5,059", - 14
186,100/08/14,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,37.4,22.6,10.3,23.1, + 47,"2,299", - 55
187,100/08/17,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,33.7,16.3,10.5,18.6, - 19,"3,382", + 47
188,100/08/18,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,29.9,15.1,8.6,16.7, - 10,"3,474", +  3
189,100/08/19,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,23.2,13.5,8.8,14.5, - 13,"4,268", + 23
190,100/08/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.0,15.3,8.6,16.3, + 12,"3,418", - 20
191,100/08/21,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,30.4,14.6,7.9,16.4, +  1,"3,664", +  7
192,100/08/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,22.5,12.9,7.1,13.7, - 16,"5,427", + 48
193,100/08/24,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,22.8,11.3,6.9,12.7, -  7,"3,336", - 39
194,100/08/25,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,19.5,11.5,8.2,12.5, -  2,"3,945", + 18
195,100/08/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,22.8,11.6,7.0,12.9, +  3,"4,225", +  7
196,100/08/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,24.9,11.2,6.0,12.9,    0,"4,291", +  2
197,100/08/28,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,23.8,14.2,9.2,15.1, + 17,"4,567", +  6
198,100/08/30,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,29.9,18.2,10.8,19.0, + 26,"2,939", - 36
199,100/08/31,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,28.3,16.2,10.6,17.5, -  8,"2,258", - 23
200,100/09/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,23.6,15.8,12.4,16.7, -  5,"1,459", - 35
201,100/09/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,27.9,12.3,9.2,14.8, - 11,"3,853", +164
202,100/09/03,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,26.2,11.7,9.4,14.1, -  5,"4,784", + 24
203,100/09/04,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,31.6,15.7,10.5,17.8, + 26,"1,994", - 58
204,100/09/06,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,22.9,12.0,6.9,13.2, - 26,"4,819", +142
