日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
2011-01-06,241 三重區,P1 番石榴 珍珠芭,61.5,37.2,28.8,40.4,23758
2011-01-06,109 台北一,P1 番石榴 珍珠芭,68.0,42.0,23.3,43.5,27892
2011-01-06,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.5,155
2011-01-06,400 台中市,P1 番石榴 珍珠芭,46.4,27.6,18.8,35.9,16378
2011-01-06,600 嘉義市,P1 番石榴 珍珠芭,56.0,30.0,18.0,30.0,510
2011-01-07,800 高雄市,P1 番石榴 珍珠芭,39.3,31.7,25.0,31.9,844
2011-01-07,109 台北一,P1 番石榴 珍珠芭,64.8,37.0,21.6,39.5,31283
2011-01-07,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.6,241
2011-01-07,600 嘉義市,P1 番石榴 珍珠芭,52.0,31.0,17.0,31.0,660
2011-01-07,241 三重區,P1 番石榴 珍珠芭,54.2,33.7,28.0,36.6,28553
2011-01-07,104 台北二,P1 番石榴 珍珠芭,63.9,40.6,20.4,41.2,10003
2011-01-07,400 台中市,P1 番石榴 珍珠芭,44.9,27.3,16.0,35.4,15396
2011-01-08,109 台北一,P1 番石榴 珍珠芭,63.2,35.3,20.0,37.9,39061
2011-01-08,800 高雄市,P1 番石榴 珍珠芭,35.0,27.5,20.0,27.5,425
2011-01-08,600 嘉義市,P1 番石榴 珍珠芭,50.0,30.0,16.0,30.0,810
2011-01-08,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.5,209
2011-01-08,241 三重區,P1 番石榴 珍珠芭,54.5,33.8,28.4,36.9,37217
2011-01-08,400 台中市,P1 番石榴 珍珠芭,42.1,28.0,19.1,33.7,26539
2011-01-08,104 台北二,P1 番石榴 珍珠芭,69.3,42.8,24.4,44.4,13299
2011-01-09,600 嘉義市,P1 番石榴 珍珠芭,50.0,30.0,16.0,30.0,600
2011-01-09,109 台北一,P1 番石榴 珍珠芭,62.7,35.9,19.9,38.0,28473
2011-01-09,104 台北二,P1 番石榴 珍珠芭,69.7,44.4,27.0,46.0,12021
2011-01-09,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.4,214
2011-01-09,241 三重區,P1 番石榴 珍珠芭,52.0,31.7,27.1,34.8,41087
2011-01-09,400 台中市,P1 番石榴 珍珠芭,56.8,29.3,18.9,33.3,26134
2011-01-09,800 高雄市,P1 番石榴 珍珠芭,35.0,25.0,20.0,26.0,125
2011-01-10,600 嘉義市,P1 番石榴 珍珠芭,50.0,28.0,16.0,28.0,600
2011-01-11,600 嘉義市,P1 番石榴 珍珠芭,52.0,30.0,15.0,30.0,660
2011-01-11,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.3,261
2011-01-11,241 三重區,P1 番石榴 珍珠芭,56.2,31.8,26.5,35.6,26581
2011-01-11,400 台中市,P1 番石榴 珍珠芭,41.2,29.0,18.4,33.6,23507
2011-01-11,104 台北二,P1 番石榴 珍珠芭,65.9,40.6,25.5,42.7,12307
2011-01-11,109 台北一,P1 番石榴 珍珠芭,64.8,37.5,19.7,39.4,31131
2011-01-11,800 高雄市,P1 番石榴 珍珠芭,45.0,34.9,21.2,34.2,1388
2011-01-12,800 高雄市,P1 番石榴 珍珠芭,30.0,30.0,30.0,30.0,8
2011-01-12,400 台中市,P1 番石榴 珍珠芭,39.2,23.0,12.4,30.9,20382
2011-01-12,109 台北一,P1 番石榴 珍珠芭,64.8,37.2,19.2,39.1,23706
2011-01-12,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.4,231
2011-01-12,241 三重區,P1 番石榴 珍珠芭,50.0,29.5,23.6,32.4,23983
2011-01-12,600 嘉義市,P1 番石榴 珍珠芭,50.0,30.0,15.0,30.0,600
2011-01-12,104 台北二,P1 番石榴 珍珠芭,62.1,38.8,19.8,39.7,10526
2011-01-13,109 台北一,P1 番石榴 珍珠芭,72.1,42.9,22.3,44.7,15556
2011-01-13,241 三重區,P1 番石榴 珍珠芭,57.8,30.6,25.6,35.0,9930
2011-01-13,104 台北二,P1 番石榴 珍珠芭,73.4,49.0,30.2,50.1,3835
2011-01-13,600 嘉義市,P1 番石榴 珍珠芭,58.0,33.0,17.0,33.0,540
2011-01-13,400 台中市,P1 番石榴 珍珠芭,43.5,25.0,15.1,31.6,10364
2011-01-13,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.2,220
2011-01-14,104 台北二,P1 番石榴 珍珠芭,72.1,46.7,27.1,47.9,8288
2011-01-14,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.5,246
2011-01-14,241 三重區,P1 番石榴 珍珠芭,54.1,31.2,25.5,34.7,27367
2011-01-14,109 台北一,P1 番石榴 珍珠芭,74.5,46.5,25.3,47.9,21603
2011-01-14,400 台中市,P1 番石榴 珍珠芭,42.3,29.1,17.9,33.9,16035
2011-01-14,600 嘉義市,P1 番石榴 珍珠芭,60.0,36.0,20.0,36.0,900
2011-01-14,800 高雄市,P1 番石榴 珍珠芭,35.0,29.3,20.0,28.6,438
2011-01-15,104 台北二,P1 番石榴 珍珠芭,66.5,45.1,27.2,45.8,14451
2011-01-15,241 三重區,P1 番石榴 珍珠芭,53.7,32.5,25.3,35.3,42882
2011-01-15,800 高雄市,P1 番石榴 珍珠芭,38.5,30.5,25.0,31.0,1480
2011-01-15,600 嘉義市,P1 番石榴 珍珠芭,55.0,33.0,17.0,33.0,990
2011-01-15,400 台中市,P1 番石榴 珍珠芭,41.1,25.5,12.5,32.1,33593
2011-01-15,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.4,225
2011-01-15,109 台北一,P1 番石榴 珍珠芭,69.4,39.9,22.0,42.2,47197
2011-01-16,600 嘉義市,P1 番石榴 珍珠芭,50.0,28.0,15.0,28.0,840
2011-01-16,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.2,277
2011-01-16,400 台中市,P1 番石榴 珍珠芭,40.7,21.1,10.8,30.8,24772
2011-01-16,104 台北二,P1 番石榴 珍珠芭,63.5,41.0,24.9,42.3,13956
2011-01-16,109 台北一,P1 番石榴 珍珠芭,62.2,33.0,15.8,35.4,39980
2011-01-16,241 三重區,P1 番石榴 珍珠芭,49.1,30.8,25.4,33.4,34269
2011-01-16,800 高雄市,P1 番石榴 珍珠芭,35.0,26.3,25.0,27.8,360
2011-01-17,600 嘉義市,P1 番石榴 珍珠芭,50.0,28.0,15.0,28.0,810
2011-01-18,241 三重區,P1 番石榴 珍珠芭,53.9,31.3,23.3,34.2,25394
2011-01-18,400 台中市,P1 番石榴 珍珠芭,39.2,21.6,10.7,29.8,25720
2011-01-18,104 台北二,P1 番石榴 珍珠芭,65.6,40.9,20.7,41.8,11698
2011-01-18,109 台北一,P1 番石榴 珍珠芭,60.7,29.7,12.7,32.5,36647
2011-01-18,800 高雄市,P1 番石榴 珍珠芭,50.0,44.3,30.0,42.6,636
2011-01-18,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.6,371
2011-01-18,600 嘉義市,P1 番石榴 珍珠芭,48.0,26.0,12.0,26.0,750
2011-01-19,400 台中市,P1 番石榴 珍珠芭,36.5,17.6,10.0,25.4,15872
2011-01-19,241 三重區,P1 番石榴 珍珠芭,56.5,31.7,24.6,35.2,27048
2011-01-19,104 台北二,P1 番石榴 珍珠芭,66.5,33.3,15.4,36.3,11619
2011-01-19,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.4,240
2011-01-19,109 台北一,P1 番石榴 珍珠芭,59.8,27.8,12.9,31.2,29608
2011-01-20,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.3,124
2011-01-20,400 台中市,P1 番石榴 珍珠芭,34.6,18.1,8.9,22.8,15399
2011-01-20,600 嘉義市,P1 番石榴 珍珠芭,45.0,24.0,10.0,24.0,560
2011-01-20,241 三重區,P1 番石榴 珍珠芭,50.4,30.6,24.4,33.3,25892
2011-01-20,104 台北二,P1 番石榴 珍珠芭,58.9,28.6,10.9,31.1,9198
2011-01-20,109 台北一,P1 番石榴 珍珠芭,56.6,26.7,10.9,29.5,26434
2011-01-21,400 台中市,P1 番石榴 珍珠芭,33.3,17.6,10.5,21.3,18515
2011-01-21,600 嘉義市,P1 番石榴 珍珠芭,45.0,23.0,10.0,23.0,600
2011-01-21,109 台北一,P1 番石榴 珍珠芭,56.2,26.2,10.5,29.0,28961
2011-01-21,104 台北二,P1 番石榴 珍珠芭,60.1,28.6,9.7,31.1,9485
2011-01-21,800 高雄市,P1 番石榴 珍珠芭,44.4,31.8,25.0,32.9,1224
2011-01-21,241 三重區,P1 番石榴 珍珠芭,47.2,27.8,19.8,30.1,33398
2011-01-21,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.5,280
2011-01-22,104 台北二,P1 番石榴 珍珠芭,69.5,37.6,15.3,39.5,8709
2011-01-22,800 高雄市,P1 番石榴 珍珠芭,50.0,35.4,25.0,36.2,1046
2011-01-22,400 台中市,P1 番石榴 珍珠芭,31.7,15.8,8.0,21.6,24371
2011-01-22,109 台北一,P1 番石榴 珍珠芭,59.8,27.6,11.3,30.8,29600
2011-01-22,600 嘉義市,P1 番石榴 珍珠芭,48.0,25.0,10.0,25.0,630
2011-01-22,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.3,235
2011-01-22,241 三重區,P1 番石榴 珍珠芭,44.7,27.0,20.6,29.2,29734
2011-01-23,109 台北一,P1 番石榴 珍珠芭,58.3,26.3,12.0,29.9,32435
2011-01-23,104 台北二,P1 番石榴 珍珠芭,63.7,33.7,15.8,36.1,14190
2011-01-23,800 高雄市,P1 番石榴 珍珠芭,35.0,29.5,25.0,29.7,256
2011-01-23,400 台中市,P1 番石榴 珍珠芭,47.0,19.2,8.3,22.5,24740
2011-01-23,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.5,224
2011-01-23,241 三重區,P1 番石榴 珍珠芭,45.2,26.1,18.8,28.5,36414
2011-01-23,600 嘉義市,P1 番石榴 珍珠芭,46.0,26.0,12.0,26.0,810
2011-01-24,600 嘉義市,P1 番石榴 珍珠芭,46.0,25.0,12.0,25.0,690
2011-01-25,930 台東市,P1 番石榴 珍珠芭,45.0,40.0,20.0,40.3,253
2011-01-25,241 三重區,P1 番石榴 珍珠芭,46.1,26.1,21.0,29.1,31565
2011-01-25,800 高雄市,P1 番石榴 珍珠芭,35.0,26.5,21.8,27.3,1618
2011-01-25,600 嘉義市,P1 番石榴 珍珠芭,40.0,21.0,8.0,21.0,840
2011-01-25,104 台北二,P1 番石榴 珍珠芭,57.2,28.4,9.8,30.5,11994
2011-01-25,109 台北一,P1 番石榴 珍珠芭,51.0,19.8,8.5,23.8,40609
2011-01-25,400 台中市,P1 番石榴 珍珠芭,32.5,17.1,9.3,22.3,31272
2011-01-26,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.6,247
2011-01-26,109 台北一,P1 番石榴 珍珠芭,46.2,16.6,6.9,20.6,31248
2011-01-26,800 高雄市,P1 番石榴 珍珠芭,30.0,30.0,20.8,28.2,49
2011-01-26,600 嘉義市,P1 番石榴 珍珠芭,37.0,18.0,6.0,18.0,660
2011-01-26,241 三重區,P1 番石榴 珍珠芭,44.4,24.4,17.3,27.0,31902
2011-01-26,400 台中市,P1 番石榴 珍珠芭,28.5,12.4,4.9,17.9,21390
2011-01-26,104 台北二,P1 番石榴 珍珠芭,63.0,28.4,10.1,31.7,10966
2011-01-27,800 高雄市,P1 番石榴 珍珠芭,20.0,20.0,20.0,20.0,180
2011-01-27,241 三重區,P1 番石榴 珍珠芭,39.0,23.8,15.6,25.2,29816
2011-01-27,600 嘉義市,P1 番石榴 珍珠芭,33.0,17.0,6.0,17.0,560
2011-01-27,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.7,270
2011-01-27,104 台北二,P1 番石榴 珍珠芭,58.0,22.8,9.8,27.2,10890
2011-01-27,109 台北一,P1 番石榴 珍珠芭,41.4,15.4,6.2,18.8,27138
2011-01-27,400 台中市,P1 番石榴 珍珠芭,28.4,14.9,7.0,17.4,23892
2011-01-28,241 三重區,P1 番石榴 珍珠芭,36.7,21.6,14.5,23.2,26453
2011-01-28,104 台北二,P1 番石榴 珍珠芭,46.1,20.1,9.6,23.2,9971
2011-01-28,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.5,241
2011-01-28,800 高雄市,P1 番石榴 珍珠芭,40.0,39.2,30.0,37.5,400
2011-01-28,600 嘉義市,P1 番石榴 珍珠芭,38.0,18.0,6.0,18.0,500
2011-01-28,400 台中市,P1 番石榴 珍珠芭,25.9,11.0,4.1,15.7,23823
2011-01-28,109 台北一,P1 番石榴 珍珠芭,43.0,15.6,7.4,19.4,23730
2011-01-29,600 嘉義市,P1 番石榴 珍珠芭,33.0,17.0,5.0,17.0,870
2011-01-29,104 台北二,P1 番石榴 珍珠芭,46.4,19.4,9.4,22.8,13329
2011-01-29,241 三重區,P1 番石榴 珍珠芭,31.0,17.3,12.4,19.1,33968
2011-01-29,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.6,269
2011-01-29,400 台中市,P1 番石榴 珍珠芭,21.8,10.8,4.3,13.9,33483
2011-01-29,109 台北一,P1 番石榴 珍珠芭,41.9,15.7,5.2,18.8,30082
2011-01-29,800 高雄市,P1 番石榴 珍珠芭,30.0,24.7,20.0,24.8,669
2011-01-30,830 鳳山區,P1 番石榴 珍珠芭,30.1,24.3,20.0,24.3,10810
2011-01-30,400 台中市,P1 番石榴 珍珠芭,24.2,13.5,6.0,14.1,24832
2011-01-30,241 三重區,P1 番石榴 珍珠芭,31.5,15.7,10.6,17.8,25430
2011-01-30,104 台北二,P1 番石榴 珍珠芭,49.3,21.6,8.9,24.6,8546
2011-01-30,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.7,299
2011-01-30,109 台北一,P1 番石榴 珍珠芭,50.4,18.3,5.8,22.2,24176
2011-01-30,600 嘉義市,P1 番石榴 珍珠芭,40.0,22.0,10.0,22.0,990
2011-01-30,800 高雄市,P1 番石榴 珍珠芭,30.0,27.3,20.3,26.4,530
2011-01-31,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.6,670
2011-01-31,104 台北二,P1 番石榴 珍珠芭,56.3,26.6,12.1,29.6,5980
2011-01-31,109 台北一,P1 番石榴 珍珠芭,75.9,33.1,11.6,37.4,13502
2011-01-31,400 台中市,P1 番石榴 珍珠芭,23.4,14.8,9.0,15.5,7414
2011-01-31,600 嘉義市,P1 番石榴 珍珠芭,40.0,25.0,10.0,25.0,1110
2011-01-31,241 三重區,P1 番石榴 珍珠芭,36.1,12.8,10.9,17.1,19872
2011-02-01,104 台北二,P1 番石榴 珍珠芭,54.0,26.9,15.5,30.0,9967
2011-02-01,241 三重區,P1 番石榴 珍珠芭,45.9,15.6,10.0,20.6,20659
2011-02-01,400 台中市,P1 番石榴 珍珠芭,47.5,15.7,8.6,16.8,21116
2011-02-01,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.4,798
2011-02-01,800 高雄市,P1 番石榴 珍珠芭,25.0,25.0,25.0,25.0,126
2011-02-01,109 台北一,P1 番石榴 珍珠芭,65.0,34.3,16.8,37.0,24684
2011-02-01,600 嘉義市,P1 番石榴 珍珠芭,42.0,25.0,10.0,25.0,1050
2011-02-02,400 台中市,P1 番石榴 珍珠芭,29.3,15.1,8.0,12.9,12848
2011-02-02,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.3,432
2011-02-02,109 台北一,P1 番石榴 珍珠芭,42.4,17.0,6.8,20.1,21833
2011-02-02,104 台北二,P1 番石榴 珍珠芭,59.3,26.2,12.5,30.1,7264
2011-02-02,241 三重區,P1 番石榴 珍珠芭,55.7,24.6,11.7,28.2,10205
2011-02-08,104 台北二,P1 番石榴 珍珠芭,34.7,16.3,7.8,18.3,31929
2011-02-08,600 嘉義市,P1 番石榴 珍珠芭,33.0,20.0,10.0,20.0,1200
2011-02-08,109 台北一,P1 番石榴 珍珠芭,32.8,17.5,8.5,18.8,59245
2011-02-08,800 高雄市,P1 番石榴 珍珠芭,30.0,25.4,20.0,25.3,545
2011-02-08,241 三重區,P1 番石榴 珍珠芭,36.0,20.1,14.5,22.2,53721
2011-02-08,400 台中市,P1 番石榴 珍珠芭,22.3,15.1,8.9,16.6,41708
2011-02-09,600 嘉義市,P1 番石榴 珍珠芭,25.0,17.0,10.0,17.0,1140
2011-02-09,104 台北二,P1 番石榴 珍珠芭,29.4,15.4,8.3,16.8,25365
2011-02-09,400 台中市,P1 番石榴 珍珠芭,22.1,12.3,5.2,14.2,37599
2011-02-09,241 三重區,P1 番石榴 珍珠芭,28.3,17.2,12.4,18.4,58039
2011-02-09,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.2,312
2011-02-09,109 台北一,P1 番石榴 珍珠芭,27.8,12.6,4.8,14.1,54622
2011-02-09,800 高雄市,P1 番石榴 珍珠芭,33.1,22.7,15.0,23.2,1018
2011-02-10,600 嘉義市,P1 番石榴 珍珠芭,20.0,15.0,10.0,15.0,720
2011-02-10,400 台中市,P1 番石榴 珍珠芭,21.0,8.0,3.7,13.0,36746
2011-02-10,800 高雄市,P1 番石榴 珍珠芭,35.0,27.8,17.6,27.2,850
2011-02-10,241 三重區,P1 番石榴 珍珠芭,23.0,13.7,9.5,14.7,51604
2011-02-10,930 台東市,P1 番石榴 珍珠芭,35.0,30.0,20.0,30.3,337
2011-02-10,109 台北一,P1 番石榴 珍珠芭,25.4,10.9,4.6,12.5,35311
2011-02-10,830 鳳山區,P1 番石榴 珍珠芭,30.1,23.9,20.0,23.9,11930
2011-02-10,104 台北二,P1 番石榴 珍珠芭,29.8,17.0,8.2,17.8,16776
2011-02-11,104 台北二,P1 番石榴 珍珠芭,33.0,18.8,8.8,19.6,11943
2011-02-11,241 三重區,P1 番石榴 珍珠芭,22.6,11.6,9.5,13.4,40826
2011-02-11,930 台東市,P1 番石榴 珍珠芭,35.0,30.0,20.0,30.4,263
2011-02-11,800 高雄市,P1 番石榴 珍珠芭,39.8,30.1,23.5,30.7,1418
2011-02-11,600 嘉義市,P1 番石榴 珍珠芭,20.0,15.0,10.0,15.0,500
2011-02-11,400 台中市,P1 番石榴 珍珠芭,21.7,11.0,4.4,12.7,18225
2011-02-11,109 台北一,P1 番石榴 珍珠芭,31.6,12.9,5.9,15.2,24561
2011-02-12,241 三重區,P1 番石榴 珍珠芭,26.4,12.7,10.1,14.9,30508
2011-02-12,104 台北二,P1 番石榴 珍珠芭,36.8,22.2,12.1,23.1,12604
2011-02-12,930 台東市,P1 番石榴 珍珠芭,35.0,30.0,20.0,30.6,199
2011-02-12,400 台中市,P1 番石榴 珍珠芭,20.5,11.2,6.0,12.4,30186
2011-02-12,800 高雄市,P1 番石榴 珍珠芭,50.0,34.1,29.2,36.3,620
2011-02-12,109 台北一,P1 番石榴 珍珠芭,39.9,19.8,10.1,21.9,25883
2011-02-12,600 嘉義市,P1 番石榴 珍珠芭,30.0,17.0,10.0,17.0,750
2011-02-13,600 嘉義市,P1 番石榴 珍珠芭,28.0,17.0,10.0,17.0,720
2011-02-13,400 台中市,P1 番石榴 珍珠芭,22.8,12.8,8.6,12.6,27835
2011-02-13,930 台東市,P1 番石榴 珍珠芭,35.0,30.0,20.0,30.4,228
2011-02-13,104 台北二,P1 番石榴 珍珠芭,32.7,20.7,12.9,21.6,18312
2011-02-13,800 高雄市,P1 番石榴 珍珠芭,33.3,25.7,20.0,26.1,1120
2011-02-13,109 台北一,P1 番石榴 珍珠芭,35.4,21.8,12.6,22.7,34993
2011-02-13,241 三重區,P1 番石榴 珍珠芭,28.5,13.4,9.7,15.7,36754
2011-02-14,600 嘉義市,P1 番石榴 珍珠芭,28.0,15.0,8.0,15.0,660
2011-02-14,800 高雄市,P1 番石榴 珍珠芭,30.0,30.0,20.1,28.0,332
2011-02-15,930 台東市,P1 番石榴 珍珠芭,35.0,30.0,20.0,30.3,284
2011-02-15,104 台北二,P1 番石榴 珍珠芭,34.9,23.3,14.1,23.7,16109
2011-02-15,800 高雄市,P1 番石榴 珍珠芭,34.1,24.1,20.0,25.3,807
2011-02-15,241 三重區,P1 番石榴 珍珠芭,32.0,17.4,12.0,19.2,27027
2011-02-15,400 台中市,P1 番石榴 珍珠芭,27.7,14.2,8.3,16.0,21791
2011-02-15,600 嘉義市,P1 番石榴 珍珠芭,27.0,16.0,10.0,16.0,840
2011-02-15,109 台北一,P1 番石榴 珍珠芭,33.9,20.6,11.9,21.5,40687
2011-02-16,241 三重區,P1 番石榴 珍珠芭,29.3,15.9,13.1,18.0,43710
2011-02-16,400 台中市,P1 番石榴 珍珠芭,22.9,13.7,6.8,13.9,27771
2011-02-16,930 台東市,P1 番石榴 珍珠芭,35.0,30.0,20.0,30.5,362
2011-02-16,104 台北二,P1 番石榴 珍珠芭,32.0,22.3,12.8,22.3,20515
2011-02-16,600 嘉義市,P1 番石榴 珍珠芭,26.0,17.0,12.0,17.0,750
2011-02-16,109 台北一,P1 番石榴 珍珠芭,32.9,21.4,14.2,22.3,35933
2011-02-16,800 高雄市,P1 番石榴 珍珠芭,33.7,23.8,16.5,24.3,2379
2011-02-16,830 鳳山區,P1 番石榴 珍珠芭,35.1,25.6,20.0,25.6,10260
2011-02-17,241 三重區,P1 番石榴 珍珠芭,30.0,18.2,14.6,19.8,48005
2011-02-17,104 台北二,P1 番石榴 珍珠芭,33.6,26.1,16.3,25.7,20764
2011-02-17,600 嘉義市,P1 番石榴 珍珠芭,25.0,15.0,10.0,15.0,600
2011-02-17,800 高雄市,P1 番石榴 珍珠芭,34.2,28.5,19.0,27.7,601
2011-02-17,830 鳳山區,P1 番石榴 珍珠芭,30.0,27.2,25.1,27.2,3670
2011-02-17,109 台北一,P1 番石榴 珍珠芭,34.5,22.8,14.8,23.5,45483
2011-02-17,930 台東市,P1 番石榴 珍珠芭,35.0,30.0,20.0,30.4,330
2011-02-17,400 台中市,P1 番石榴 珍珠芭,33.7,13.6,7.0,15.8,34518
2011-02-19,600 嘉義市,P1 番石榴 珍珠芭,25.0,15.0,10.0,15.0,900
2011-02-20,600 嘉義市,P1 番石榴 珍珠芭,25.0,16.0,10.0,16.0,1350
2011-02-20,104 台北二,P1 番石榴 珍珠芭,26.9,17.8,9.9,18.0,35342
2011-02-20,109 台北一,P1 番石榴 珍珠芭,31.6,20.3,10.8,20.7,70255
2011-02-20,241 三重區,P1 番石榴 珍珠芭,24.0,15.2,11.4,16.2,47580
2011-02-20,400 台中市,P1 番石榴 珍珠芭,22.0,13.0,7.0,14.1,52602
2011-02-21,600 嘉義市,P1 番石榴 珍珠芭,25.0,16.0,10.0,16.0,1440
2011-02-22,800 高雄市,P1 番石榴 珍珠芭,26.7,20.9,15.0,20.9,2243
2011-02-22,600 嘉義市,P1 番石榴 珍珠芭,22.0,15.0,9.0,15.0,1350
2011-02-22,109 台北一,P1 番石榴 珍珠芭,28.4,18.1,11.5,18.9,69586
2011-02-22,241 三重區,P1 番石榴 珍珠芭,27.1,16.0,11.6,17.4,59386
2011-02-22,400 台中市,P1 番石榴 珍珠芭,22.9,13.7,8.7,15.9,39433
2011-02-22,104 台北二,P1 番石榴 珍珠芭,29.0,21.7,13.2,21.5,28603
2011-02-22,930 台東市,P1 番石榴 珍珠芭,30.0,25.0,20.0,25.3,350
2011-02-23,109 台北一,P1 番石榴 珍珠芭,26.5,16.4,9.5,17.1,60582
2011-02-23,400 台中市,P1 番石榴 珍珠芭,22.2,13.0,7.7,15.4,30407
2011-02-23,600 嘉義市,P1 番石榴 珍珠芭,22.0,15.0,10.0,15.0,1260
2011-02-23,800 高雄市,P1 番石榴 珍珠芭,25.0,19.7,15.0,19.8,1338
2011-02-23,241 三重區,P1 番石榴 珍珠芭,26.8,16.3,12.8,17.7,52248
2011-02-23,104 台北二,P1 番石榴 珍珠芭,27.2,20.6,11.8,20.1,27455
2011-02-23,830 鳳山區,P1 番石榴 珍珠芭,32.1,25.1,18.0,25.1,3730
2011-02-23,930 台東市,P1 番石榴 珍珠芭,30.0,25.0,20.0,25.4,309
2011-02-24,930 台東市,P1 番石榴 珍珠芭,30.0,25.0,20.0,25.3,304
2011-02-24,104 台北二,P1 番石榴 珍珠芭,30.2,22.8,13.4,22.4,21580
2011-02-24,400 台中市,P1 番石榴 珍珠芭,21.9,13.1,7.4,16.5,37964
2011-02-24,109 台北一,P1 番石榴 珍珠芭,28.8,17.5,10.3,18.4,50434
2011-02-24,241 三重區,P1 番石榴 珍珠芭,28.3,16.8,14.7,18.7,49450
