日期,產品,台北平均價,台北交易量,2018平均價,2018交易量
108/07/27,A1 香蕉  ,22.8,29513,19.9,46935
108/07/28,A1 香蕉  ,25.25,28673,20.6,32964
108/07/30,A1 香蕉  ,28.15,28769,20.6,32964
108/07/31,A1 香蕉  ,28.7,35238,19,42584
108/08/01,A1 香蕉  ,30.35,24858,18.15,39631
108/08/02,A1 香蕉  ,31.15,22802,18.6,32175
108/08/03,A1 香蕉  ,31.75,20746,19.45,31875
108/08/04,A1 香蕉  ,32.25,25000,19.6,33212
108/08/06,A1 香蕉  ,33.2,21277,19.6,33212
108/08/07,A1 香蕉  ,31.95,24802,22.6,31852
108/08/08,A1 香蕉  ,33.45,19335,20.6,32952
108/08/09,A1 香蕉  ,28.65,21709,21.75,28381
108/08/10,A1 香蕉  ,27.35,24479,22.25,35942
108/08/11,A1 香蕉  ,29.05,28083,20.5,45992
108/08/13,A1 香蕉  ,30.65,25476,20.5,45992
108/08/14,A1 香蕉  ,27.2,33369,21.1,35922
108/08/15,A1 香蕉  ,29.7,29827,19.9,32076
108/08/18,A1 香蕉  ,31.6,32130,19.25,37425
108/08/20,A1 香蕉  ,29.8,29079,19.25,37425
108/08/21,A1 香蕉  ,33.55,23479,21.95,32080
108/08/22,A1 香蕉  ,31.7,23138,23.05,32468
108/08/23,A1 香蕉  ,30.9,25153,23.4,29278
108/08/24,A1 香蕉  ,31.75,22210,22.05,38060
108/08/25,A1 香蕉  ,32.4,25318,22.75,35795
108/08/27,A1 香蕉  ,29.8,26859,22.75,35795
108/08/28,A1 香蕉  ,31.85,26709,24.05,41131
108/08/29,A1 香蕉  ,28.9,26587,25.2,27286
108/08/30,A1 香蕉  ,33.2,29462,27.55,22172
108/08/31,A1 香蕉  ,34.75,20593,29.5,23850
108/09/01,A1 香蕉  ,35.5,25188,30,26796
108/09/03,A1 香蕉  ,34.4,22550,30,26796
108/09/04,A1 香蕉  ,34.75,23886,31.7,26041
108/09/05,A1 香蕉  ,29.8,26984,29.95,26531
108/09/06,A1 香蕉  ,32.45,26063,26.8,31405
108/09/07,A1 香蕉  ,29.8,24444,28.2,24687
108/09/08,A1 香蕉  ,32.2,27869,26.85,30934
108/09/10,A1 香蕉  ,30.5,26215,26.85,30934
108/09/11,A1 香蕉  ,32,27626,26.3,38381
108/09/12,A1 香蕉  ,28.65,35952,29.3,28334
108/09/13,A1 香蕉  ,29.7,37522,27.85,29267
108/09/14,A1 香蕉  ,29.1,14535,26.15,31373
108/09/17,A1 香蕉  ,29.2,30883,26.15,31373
108/09/18,A1 香蕉  ,30,29926,18.4,42583
108/09/19,A1 香蕉  ,27.85,24431,19.7,37918
108/09/20,A1 香蕉  ,28.75,30518,19.15,36719
108/09/21,A1 香蕉  ,26.7,21481,20.4,32594
108/09/22,A1 香蕉  ,27.95,31304,17.85,43245
108/09/24,A1 香蕉  ,31,25298,22.5,15537
108/09/25,A1 香蕉  ,32.15,27978,22.5,15537
108/09/26,A1 香蕉  ,27.35,29001,22.5,15537
108/09/27,A1 香蕉  ,29.65,32773,21.85,44032
108/09/28,A1 香蕉  ,28.25,29453,19.6,39586
108/09/29,A1 香蕉  ,27.3,35214,17.25,45384
108/10/01,A1 香蕉  ,28.25,25676,17.25,45384
108/10/02,A1 香蕉  ,29.6,27685,19.05,45084
108/10/03,A1 香蕉  ,31.45,19628,19.85,40596
108/10/04,A1 香蕉  ,31,31018,18.95,38871
108/10/05,A1 香蕉  ,28.7,25943,19.5,34883
108/10/06,A1 香蕉  ,31.7,27249,22.45,31795
108/10/08,A1 香蕉  ,29.05,34408,22.45,31795
108/10/09,A1 香蕉  ,29.45,28962,24.75,44885
108/10/10,A1 香蕉  ,27.45,28655,23.15,37455
108/10/11,A1 香蕉  ,27.55,30893,24.1,25829
108/10/12,A1 香蕉  ,27.85,29318,26,25667
108/10/13,A1 香蕉  ,29.35,34459,25.7,33282
108/10/15,A1 香蕉  ,26.85,36745,25.7,33282
